air_name,example_source
air.abort_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.abs_diff.s.i8,golden/P04/metal32_macosx26/probe.ll
air.add_sat.s.i8,golden/P04/metal32_macosx26/probe.ll
air.address_space,golden/P01/metal32_macosx26/probe.ll
air.allocate_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.allocate_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.arg_name,golden/P01/metal32_macosx26/probe.ll
air.arg_type_align_size,golden/P01/metal32_macosx26/probe.ll
air.arg_type_name,golden/P01/metal32_macosx26/probe.ll
air.arg_type_size,golden/P01/metal32_macosx26/probe.ll
air.arg_unused,golden/P02/metal32_macosx26/probe.ll
air.atomic.global.add.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.and.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.cmpxchg.weak.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.load.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.max.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.min.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.or.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.store.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.sub.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.xchg.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic.global.xor.s.i32,golden/P07F40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_1d.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_1d_array.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_2d.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_2d_array.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_3d.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_buffer_1d.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_cube.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_compare_exchange_weak_explicit_texture_cube_array.u.v4i32,golden/P06M40v3/metal40_macosx26/probe.ll
air.atomic_exchange_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_exchange_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_exchange_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_add_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_add_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_add_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_and_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_and_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_and_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_max_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_max_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_max_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_min_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_min_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_min_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_or_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_or_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_or_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_sub_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_sub_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_sub_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_xor_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_xor_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_fetch_xor_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_load_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_load_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_load_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_store_explicit_texture_buffer_1d.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_store_explicit_texture_cube.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.atomic_store_explicit_texture_cube_array.u.v4i32,golden/P06M40/metal40_macosx26/probe.ll
air.buffer,golden/P01/metal32_macosx26/probe.ll
air.buffer_size,golden/P01/metal32_macosx26/probe.ll
air.calculate_clamped_lod_depth_2d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_depth_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_depth_cube,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_texture_2d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_texture_2d_array,golden/P06M40/metal40_macosx26/probe.ll
