air_op_stem,n_declares,example_declare
air.abs.s,24,declare <16 x i16> @air.abs.s.v16i16(<16 x i16>) local_unnamed_addr #1
air.abs.u,24,declare <16 x i16> @air.abs.u.v16i16(<16 x i16>) local_unnamed_addr #1
air.abs_diff.s,24,"declare <16 x i16> @air.abs_diff.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.abs_diff.u,24,"declare <16 x i16> @air.abs_diff.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.acos,18,declare <16 x double> @air.acos.v16f64(<16 x double>) local_unnamed_addr #1
air.acosh,18,declare <16 x double> @air.acosh.v16f64(<16 x double>) local_unnamed_addr #1
air.acospi,18,declare <16 x double> @air.acospi.v16f64(<16 x double>) local_unnamed_addr #1
air.add_sat.s,24,"declare <16 x i16> @air.add_sat.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.add_sat.u,24,"declare <16 x i16> @air.add_sat.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.all,7,declare i1 @air.all.v16i1(<16 x i1>) local_unnamed_addr #11
air.any,7,declare i1 @air.any.v16i1(<16 x i1>) local_unnamed_addr #11
air.asin,18,declare <16 x double> @air.asin.v16f64(<16 x double>) local_unnamed_addr #1
air.asinh,18,declare <16 x double> @air.asinh.v16f64(<16 x double>) local_unnamed_addr #1
air.asinpi,18,declare <16 x double> @air.asinpi.v16f64(<16 x double>) local_unnamed_addr #1
air.async_wg_copy,84,"declare ptr addrspace(3) @air.async_wg_copy.p1f16.p3f16(ptr addrspace(1), ptr addrspace(3), i64, ptr addrspace(3)) local_unnamed_addr #1"
air.async_wg_strided_copy,84,"declare ptr addrspace(3) @air.async_wg_strided_copy.p1f16.p3f16(ptr addrspace(1), ptr addrspace(3), i64, i64, ptr addrspace(3)) local_unnamed_addr #1"
air.atan,18,declare <16 x double> @air.atan.v16f64(<16 x double>) local_unnamed_addr #1
air.atan2,18,"declare <16 x double> @air.atan2.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.atan2pi,18,"declare <16 x double> @air.atan2pi.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1"
air.atanh,18,declare <16 x double> @air.atanh.v16f64(<16 x double>) local_unnamed_addr #1
air.atanpi,18,declare <16 x double> @air.atanpi.v16f64(<16 x double>) local_unnamed_addr #1
air.atomic.fence,2,"declare void @air.atomic.fence(i32, i32, i32) local_unnamed_addr #1"
air.atomic.global.add.s,1,"declare i32 @air.atomic.global.add.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.add.u,3,"declare i32 @air.atomic.global.add.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.and.s,1,"declare i32 @air.atomic.global.and.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.and.u,1,"declare i32 @air.atomic.global.and.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.cmpxchg.weak,1,"declare i32 @air.atomic.global.cmpxchg.weak.i32(ptr addrspace(1) nocapture, ptr nocapture, i32, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.load,1,"declare i32 @air.atomic.global.load.i32(ptr addrspace(1) nocapture, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.max.s,1,"declare i32 @air.atomic.global.max.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.max.u,2,"declare i32 @air.atomic.global.max.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.min.s,1,"declare i32 @air.atomic.global.min.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.min.u,1,"declare i32 @air.atomic.global.min.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.or.s,1,"declare i32 @air.atomic.global.or.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.or.u,1,"declare i32 @air.atomic.global.or.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.store,1,"declare void @air.atomic.global.store.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.sub.s,1,"declare i32 @air.atomic.global.sub.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.sub.u,2,"declare i32 @air.atomic.global.sub.u.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.xchg,1,"declare i32 @air.atomic.global.xchg.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
air.atomic.global.xor.s,1,"declare i32 @air.atomic.global.xor.s.i32(ptr addrspace(1) nocapture, i32, i32, i32, i1) local_unnamed_addr #1"
