air_name_or_rule,kind,context_method,file,line
air.,name_rule,CreateCountZero,nt/air_builder.cpp,1270
air.,name_rule,CreateDerivative,nt/air_builder.cpp,1106
air.,name_rule,CreateIntBinOp,nt/air_builder.cpp,1798
air.,name_rule,CreateIntUnOp,nt/air_builder.cpp,1771
air. _,name_rule,CreateTextureQuery,nt/air_builder.cpp,969
air. fast_,name_rule,CreateFPBinOp,nt/air_builder.cpp,1740
air. fast_,name_rule,CreateFPUnOp,nt/air_builder.cpp,1697
air.address_space,literal,,air_signature.cpp,192
air.address_space,literal,,air_signature.cpp,245
air.any,literal,,air_signature.cpp,928
air.arg_name,literal,,air_signature.cpp,213
air.arg_name,literal,,air_signature.cpp,260
air.arg_name,literal,,air_signature.cpp,298
air.arg_name,literal,,air_signature.cpp,313
air.arg_name,literal,,air_signature.cpp,399
air.arg_name,literal,,air_signature.cpp,569
air.arg_name,literal,,air_signature.cpp,577
air.arg_name,literal,,air_signature.cpp,586
air.arg_name,literal,,air_signature.cpp,593
air.arg_name,literal,,air_signature.cpp,613
air.arg_name,literal,,air_signature.cpp,620
air.arg_name,literal,,air_signature.cpp,627
air.arg_name,literal,,air_signature.cpp,653
air.arg_name,literal,,air_signature.cpp,663
air.arg_name,literal,,air_signature.cpp,694
air.arg_name,literal,,air_signature.cpp,703
air.arg_name,literal,,air_signature.cpp,711
air.arg_name,literal,,air_signature.cpp,719
air.arg_name,literal,,air_signature.cpp,727
air.arg_name,literal,,air_signature.cpp,735
air.arg_name,literal,,air_signature.cpp,743
air.arg_name,literal,,air_signature.cpp,751
air.arg_name,literal,,air_signature.cpp,759
air.arg_name,literal,,air_signature.cpp,767
air.arg_name,literal,,air_signature.cpp,775
air.arg_name,literal,,air_signature.cpp,783
air.arg_name,literal,,air_signature.cpp,791
air.arg_name,literal,,air_signature.cpp,799
air.arg_name,literal,,air_signature.cpp,807
air.arg_name,literal,,air_signature.cpp,815
air.arg_name,literal,,air_signature.cpp,827
air.arg_name,literal,,air_signature.cpp,837
air.arg_name,literal,,air_signature.cpp,866
air.arg_name,literal,,air_signature.cpp,893
air.arg_name,literal,,air_signature.cpp,904
air.arg_name,literal,,air_signature.cpp,913
air.arg_name,literal,,air_signature.cpp,922
air.arg_name,literal,,air_signature.cpp,935
air.arg_name,literal,,air_signature.cpp,943
air.arg_name,literal,,air_signature.cpp,951
air.arg_name,literal,,air_signature.cpp,961
air.arg_name,literal,,air_signature.cpp,971
air.arg_name,literal,,air_signature.cpp,979
air.arg_type_align_size,literal,,air_signature.cpp,207
air.arg_type_align_size,literal,,air_signature.cpp,254
air.arg_type_align_size,literal,,air_signature.cpp,823
air.arg_type_name,literal,,air_signature.cpp,210
air.arg_type_name,literal,,air_signature.cpp,257
air.arg_type_name,literal,,air_signature.cpp,296
air.arg_type_name,literal,,air_signature.cpp,311
air.arg_type_name,literal,,air_signature.cpp,397
air.arg_type_name,literal,,air_signature.cpp,567
air.arg_type_name,literal,,air_signature.cpp,575
air.arg_type_name,literal,,air_signature.cpp,584
air.arg_type_name,literal,,air_signature.cpp,591
air.arg_type_name,literal,,air_signature.cpp,611
air.arg_type_name,literal,,air_signature.cpp,618
air.arg_type_name,literal,,air_signature.cpp,625
air.arg_type_name,literal,,air_signature.cpp,651
air.arg_type_name,literal,,air_signature.cpp,661
air.arg_type_name,literal,,air_signature.cpp,692
air.arg_type_name,literal,,air_signature.cpp,701
air.arg_type_name,literal,,air_signature.cpp,709
air.arg_type_name,literal,,air_signature.cpp,717
air.arg_type_name,literal,,air_signature.cpp,725
air.arg_type_name,literal,,air_signature.cpp,733
air.arg_type_name,literal,,air_signature.cpp,741
air.arg_type_name,literal,,air_signature.cpp,749
air.arg_type_name,literal,,air_signature.cpp,757
air.arg_type_name,literal,,air_signature.cpp,765
air.arg_type_name,literal,,air_signature.cpp,773
air.arg_type_name,literal,,air_signature.cpp,781
air.arg_type_name,literal,,air_signature.cpp,789
air.arg_type_name,literal,,air_signature.cpp,797
air.arg_type_name,literal,,air_signature.cpp,805
air.arg_type_name,literal,,air_signature.cpp,813
air.arg_type_name,literal,,air_signature.cpp,825
air.arg_type_name,literal,,air_signature.cpp,835
air.arg_type_name,literal,,air_signature.cpp,864
air.arg_type_name,literal,,air_signature.cpp,891
air.arg_type_name,literal,,air_signature.cpp,902
air.arg_type_name,literal,,air_signature.cpp,911
air.arg_type_name,literal,,air_signature.cpp,920
air.arg_type_name,literal,,air_signature.cpp,933
air.arg_type_name,literal,,air_signature.cpp,941
air.arg_type_name,literal,,air_signature.cpp,949
air.arg_type_name,literal,,air_signature.cpp,959
air.arg_type_name,literal,,air_signature.cpp,969
air.arg_type_name,literal,,air_signature.cpp,977
air.arg_type_size,literal,,air_signature.cpp,202
air.arg_type_size,literal,,air_signature.cpp,251
air.arg_type_size,literal,,air_signature.cpp,821
air.atomic. global.,name_rule,CreateAtomicRMW,nt/air_builder.cpp,1809
air.atomic.fence,literal,CreateAtomicFence,nt/air_builder.cpp,1171
air.atomic_,literal,CreateAtomicRMW,nt/air_builder.cpp,153
air.atomic_ exchange_explicit_ fetch_ add sub,name_rule,CreateAtomicRMW,nt/air_builder.cpp,153
air.atomic_compare_exchange_weak_explicit_,literal,CreateAtomicCmpXchg,nt/air_builder.cpp,267
air.atomic_compare_exchange_weak_explicit_,name_rule,CreateAtomicCmpXchg,nt/air_builder.cpp,267
air.base_instance,literal,,air_signature.cpp,796
air.base_vertex,literal,,air_signature.cpp,780
air.buffer,literal,,air_signature.cpp,168
air.buffer_size,literal,,air_signature.cpp,170
air.buffer_size,literal,,air_signature.cpp,224
air.calculate_clamped_lod_,literal,CreateCalculateLOD,nt/air_builder.cpp,1020
air.calculate_clamped_lod_,name_rule,CreateCalculateLOD,nt/air_builder.cpp,1020
air.calculate_unclamped_lod_,literal,CreateCalculateLOD,nt/air_builder.cpp,1025
air.center,literal,,air_signature.cpp,338
air.center,literal,,air_signature.cpp,341
air.centroid,literal,,air_signature.cpp,344
air.centroid,literal,,air_signature.cpp,347
air.clip_distance,literal,,air_signature.cpp,581
air.clip_distance,literal,,air_signature.cpp,956
air.clip_distance_array_size,literal,,air_signature.cpp,582
air.clip_distance_array_size,literal,,air_signature.cpp,957
air.compile_options,literal,linkShader,airconv_context.cpp,178
air.convert,literal,CreateConvertToFloat,nt/air_builder.cpp,1291
air.convert,literal,CreateConvertToHalf,nt/air_builder.cpp,1312
air.convert,literal,CreateConvertToSigned,nt/air_builder.cpp,1333
air.convert,literal,CreateConvertToUnsigned,nt/air_builder.cpp,1354
air.convert,name_rule,CreateConvertToFloat,nt/air_builder.cpp,1291
air.convert,name_rule,CreateConvertToHalf,nt/air_builder.cpp,1312
air.convert,name_rule,CreateConvertToSigned,nt/air_builder.cpp,1333
air.convert,name_rule,CreateConvertToUnsigned,nt/air_builder.cpp,1354
air.depth,literal,,air_signature.cpp,930
air.depth_qualifier,literal,,air_signature.cpp,931
air.discard_fragment,literal,CreateDiscard,nt/air_builder.cpp,1123
air.dot,literal,CreateDotProduct,nt/air_builder.cpp,1245
air.dot,name_rule,CreateDotProduct,nt/air_builder.cpp,1245
air.fence_,literal,CreateTextureFence,nt/air_builder.cpp,1056
air.fence_,name_rule,CreateTextureFence,nt/air_builder.cpp,1056
air.flat,literal,,air_signature.cpp,356
air.fma,literal,CreateFMA,nt/air_builder.cpp,1206
air.fma,name_rule,CreateFMA,nt/air_builder.cpp,1206
air.fragment,literal,SM50GetErrorMessageString,dxbc_converter.cpp,386
