air_intrinsic_declare,n_os,os_list,example_module
declare <16 x double> @air.acos.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.acosh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.acospi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.asin.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.asinh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.asinpi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.atan.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.atan2.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.atan2pi.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.atanh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.atanpi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.cbrt.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.ceil.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.clamp.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!common.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f16.rte(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f16.rtn(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f16.rtp(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f16.rtz(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f32.rte(<16 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f32.rtn(<16 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f32.rtp(<16 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.f.v16f32.rtz(<16 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i16.rte(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i16.rtn(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i16.rtp(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i16.rtz(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i32.rte(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x double> @air.convert.f.v16f64.s.v16i32.rtn(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
