std_flag,lang_version,min_os_triple,default_air_ver,guards_enabled,description
macos-metal1.0,1.1.0,air64-apple-macosx10.11.0,2.0.0,__HAVE_TEXTURE_CUBE_ARRAY__,Metal 1.0 (OS X El Capitan 10.11+ / iOS 8+) - 1.1に統合
macos-metal1.1,1.1.0,air64-apple-macosx10.11.0,2.0.0,__HAVE_TEXTURE_CUBE_ARRAY__,Metal 1.1 (OS X El Capitan 10.11+ / iOS 9+)
macos-metal1.2,1.2.0,air64-apple-macosx10.12.0,2.0.0,__HAVE_TEXTURE_CUBE_ARRAY__,Metal 1.2 (macOS Sierra 10.12+ / iOS 10+)
macos-metal2.0,2.0.0,air64-apple-macosx10.13.0,2.0.0,__HAVE_TEXTURE_CUBE_ARRAY__,Metal 2.0 (macOS High Sierra 10.13+ / iOS 11+) - AIR 2.0 導入
macos-metal2.1,2.1.0,air64-apple-macosx10.14.0,2.1.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__,Metal 2.1 (macOS Mojave 10.14+ / iOS 12+) - Texture Buffer 導入
macos-metal2.2,2.2.0,air64-apple-macosx10.15.0,2.2.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__,Metal 2.2 (macOS Catalina 10.15+ / iOS 13+)
macos-metal2.3,2.3.0,air64_v23-apple-macosx11.0.0,2.3.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__,Metal 2.3 (macOS Big Sur 11.0+ / iOS 14+) - Raytracing / Simdgroup Matrix / Sparse Texture 導入
macos-metal2.4,2.4.0,air64_v24-apple-macosx12.0.0,2.4.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__,Metal 2.4 (macOS Monterey 12.0+ / iOS 15+)
metal3.0,3.0.0,air64_v25-apple-macosx13.0.0,2.5.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__;__HAVE_MESH__,Metal 3.0 (macOS Ventura 13.0+ / iOS 16+) - Mesh Shaders / AIR 2.5 導入
metal3.1,3.1.0,air64_v26-apple-macosx14.0.0,2.6.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__;__HAVE_MESH__,Metal 3.1 (macOS Sonoma 14.0+ / iOS 17+) - AIR 2.6 導入
metal3.2,3.2.0,air64_v27-apple-macosx15.0.0,2.7.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__;__HAVE_MESH__;__HAVE_COHERENT__,Metal 3.2 (macOS Sequoia 15.0+ / iOS 18+) - Coherent Textures / AIR 2.7 導入
metal4.0,4.0.0,air64_v28-apple-macosx26.0.0,2.8.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__;__HAVE_MESH__;__HAVE_COHERENT__,Metal 4.0 (macOS 26.0+ / iOS 26+) - AIR 2.8 導入
metal4.1,4.1.0,air64_v28-apple-macosx26.0.0,2.8.0,__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_SIMDGROUP_MATRIX__;__HAVE_MESH__;__HAVE_COHERENT__;__HAVE_METAL4_1__,Metal 4.1 (クリーンルーム先行対応仕様) - !air.language_version 4.1.0 発行および __HAVE_METAL4_1__ 定義
