builtin,n_files,n_occurrences,sample1,sample2,sample3
__metal_abort_intersection_query,1,1,metal_raytracing:4383: __metal_abort_intersection_query(
__metal_abs,1,48,metal_integer:15: return __metal_abs(x);,metal_integer:115: return __metal_abs(x);,metal_integer:215: return __metal_abs(x);
__metal_absdiff,1,48,"metal_integer:19: return __metal_absdiff(x, y);","metal_integer:119: return __metal_absdiff(x, y);","metal_integer:219: return __metal_absdiff(x, y);"
__metal_acos,1,30,"metal_math:30: return __metal_acos(x, __METAL_FAST_MATH__);","metal_math:283: return __metal_acos(x, __METAL_FAST_MATH__);","metal_math:536: return __metal_acos(x, __METAL_FAST_MATH__);"
__metal_acosh,1,30,"metal_math:34: return __metal_acosh(x, __METAL_FAST_MATH__);","metal_math:287: return __metal_acosh(x, __METAL_FAST_MATH__);","metal_math:540: return __metal_acosh(x, __METAL_FAST_MATH__);"
__metal_addsat,1,48,"metal_integer:23: return __metal_addsat(x, y);","metal_integer:123: return __metal_addsat(x, y);","metal_integer:223: return __metal_addsat(x, y);"
__metal_all,1,6,metal_relational:736: return __metal_all(x);,metal_relational:744: return __metal_all(x);,metal_relational:752: return __metal_all(x);
__metal_any,1,6,metal_relational:740: return __metal_any(x);,metal_relational:748: return __metal_any(x);,metal_relational:756: return __metal_any(x);
__metal_asin,1,30,"metal_math:38: return __metal_asin(x, __METAL_FAST_MATH__);","metal_math:291: return __metal_asin(x, __METAL_FAST_MATH__);","metal_math:544: return __metal_asin(x, __METAL_FAST_MATH__);"
__metal_asinh,1,30,"metal_math:42: return __metal_asinh(x, __METAL_FAST_MATH__);","metal_math:295: return __metal_asinh(x, __METAL_FAST_MATH__);","metal_math:548: return __metal_asinh(x, __METAL_FAST_MATH__);"
__metal_atan,1,30,"metal_math:46: return __metal_atan(y_over_x, __METAL_FAST_MATH__);","metal_math:299: return __metal_atan(y_over_x, __METAL_FAST_MATH__);","metal_math:552: return __metal_atan(y_over_x, __METAL_FAST_MATH__);"
__metal_atan2,1,30,"metal_math:50: return __metal_atan2(y, x, __METAL_FAST_MATH__);","metal_math:303: return __metal_atan2(y, x, __METAL_FAST_MATH__);","metal_math:556: return __metal_atan2(y, x, __METAL_FAST_MATH__);"
__metal_atanh,1,30,"metal_math:54: return __metal_atanh(x, __METAL_FAST_MATH__);","metal_math:307: return __metal_atanh(x, __METAL_FAST_MATH__);","metal_math:560: return __metal_atanh(x, __METAL_FAST_MATH__);"
__metal_atomic_compare_exchange_weak_explicit,1,2,"metal_atomic:349: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(object->__s)(desired), int(success), int(failure),","metal_atomic:366: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(object->__s)(desired), int(success), int(failure),"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,1,12,"__bits/metal_texture1d_array:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coord, array, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __","__bits/metal_texture1d_array:741: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coord, array, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __","__bits/metal_texture1d_array:746: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coord, array, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,1,12,"__bits/metal_texture1d:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_MEMORY_","__bits/metal_texture1d:741: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_MEMORY_","__bits/metal_texture1d:746: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_MEMORY_"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,1,12,"__bits/metal_texture2d_array:1392: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), expected, desired, __METAL_MEMORY_ORDER_R","__bits/metal_texture2d_array:1397: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, coord, array, uint2(0), expected, desired, __METAL_MEMORY_ORDER_REL","__bits/metal_texture2d_array:1402: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), expected, desired, __METAL_MEMORY_ORDER_R"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,1,12,"__bits/metal_texture2d:1404: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __M","__bits/metal_texture2d:1409: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, uint2(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __MET","__bits/metal_texture2d:1414: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __M"
__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,1,12,"__bits/metal_texture3d:1290: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __M","__bits/metal_texture3d:1295: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, uint3(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __MET","__bits/metal_texture3d:1300: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __M"
__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,1,12,"__bits/metal_texture_buffer:402: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_","__bits/metal_texture_buffer:407: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_","__bits/metal_texture_buffer:412: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_"
__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,1,12,"__bits/metal_texturecube_array:1419: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t, coord, face, array, expected, desired, __METAL_MEMORY_ORDER_RELAX","__bits/metal_texturecube_array:1424: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t, coord, face, array, expected, desired, __METAL_MEMORY_ORDER_RELAX","__bits/metal_texturecube_array:1429: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t, coord, face, array, expected, desired, __METAL_MEMORY_ORDER_RELAX"
__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,1,12,"__bits/metal_texturecube:1422: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, face, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL","__bits/metal_texturecube:1427: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, face, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL","__bits/metal_texturecube:1432: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, face, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL"
__metal_atomic_exchange_explicit,1,2,"metal_atomic:294: return T(__metal_atomic_exchange_explicit(&object->__s , decltype(object->__s)(desired), int(order), __METAL_MEMORY_SCOPE_THREADGROUP__));","metal_atomic:306: return T(__metal_atomic_exchange_explicit(&object->__s , decltype(object->__s)(desired), int(order), __METAL_MEMORY_SCOPE_DEVICE__));"
__metal_atomic_exchange_explicit_texture_1d_array_t,1,12,"__bits/metal_texture1d_array:816: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d_array:821: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d_array:826: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_1d_t,1,12,"__bits/metal_texture1d:816: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d:821: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d:826: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_2d_array_t,1,12,"__bits/metal_texture2d_array:1472: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d_array:1477: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, uint2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d_array:1482: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_2d_t,1,12,"__bits/metal_texture2d:1484: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, ushort2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d:1489: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, uint2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d:1494: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, ushort2(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_3d_t,1,12,"__bits/metal_texture3d:1370: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, ushort3(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture3d:1375: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, uint3(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture3d:1380: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, ushort3(0), desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_buffer_1d_t,1,12,"__bits/metal_texture_buffer:482: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture_buffer:487: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture_buffer:492: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_cube_array_t,1,12,"__bits/metal_texturecube_array:1499: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texturecube_array:1504: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texturecube_array:1509: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face, array, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_exchange_explicit_texture_cube_t,1,12,"__bits/metal_texturecube:1502: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texturecube:1507: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texturecube:1512: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_fence,1,1,"metal_atomic:155: __metal_atomic_fence(int(flags), int(order), int(scope));"
__metal_atomic_fetch_add_explicit,1,2,"metal_atomic:497: return __metal_atomic_fetch_add_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_THREADGROUP__);","metal_atomic:509: return __metal_atomic_fetch_add_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_DEVICE__);"
__metal_atomic_fetch_add_explicit_texture_1d_array_t,1,12,"__bits/metal_texture1d_array:1216: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d_array:1226: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d_array:1236: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_fetch_add_explicit_texture_1d_t,1,12,"__bits/metal_texture1d:1216: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d:1226: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture1d:1236: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_fetch_add_explicit_texture_2d_array_t,1,12,"__bits/metal_texture2d_array:1872: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d_array:1877: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, uint2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d_array:1892: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_fetch_add_explicit_texture_2d_t,1,12,"__bits/metal_texture2d:1884: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d:1889: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, uint2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture2d:1904: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
__metal_atomic_fetch_add_explicit_texture_3d_t,1,12,"__bits/metal_texture3d:1770: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture3d:1775: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, uint3(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));","__bits/metal_texture3d:1790: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEMORY_ORDER_RELAXED__, int(a));"
