section,id,name_or_standard,cxx_generation_or_kind,controlling_macro_or_ver,metal1_x_or_early_tc,metal2_x_or_mid_tc,metal3_x_or_master_tc,metal4_0_or_cryptex_tc,metal4_1_or_cleanroom_tc,cleanroom_implementation_rule
1_standards,STD-1.0,macos-metal1.0 / ios-metal1.0,C++11,__cplusplus 201103L,201103L (`C++11`),-,-,-,-,Set `LangOptions::CPlusPlus11=1`; define `__cplusplus=201103L`
1_standards,STD-1.1,macos-metal1.1 / ios-metal1.1,C++11,__cplusplus 201103L,201103L (`C++11`),-,-,-,-,Set `LangOptions::CPlusPlus11=1`; define `__cplusplus=201103L`
1_standards,STD-1.2,macos-metal1.2 / ios-metal1.2,C++11,__cplusplus 201103L,201103L (`C++11`),-,-,-,-,Set `LangOptions::CPlusPlus11=1`; define `__cplusplus=201103L`
1_standards,STD-2.0,macos-metal2.0 / ios-metal2.0,C++14,__cplusplus 201402L,-,201402L (`C++14`),-,-,-,Set `LangOptions::CPlusPlus14=1`; define `__cplusplus=201402L`
1_standards,STD-2.1,macos-metal2.1 / ios-metal2.1,C++14,__cplusplus 201402L,-,201402L (`C++14`),-,-,-,Set `LangOptions::CPlusPlus14=1`; define `__cplusplus=201402L`
1_standards,STD-2.2,macos-metal2.2 / ios-metal2.2,C++14,__cplusplus 201402L,-,201402L (`C++14`),-,-,-,Set `LangOptions::CPlusPlus14=1`; define `__cplusplus=201402L`
1_standards,STD-2.3,macos-metal2.3 / ios-metal2.3,C++14,__cplusplus 201402L,-,201402L (`C++14`),-,-,-,Set `LangOptions::CPlusPlus14=1`; define `__cplusplus=201402L`
1_standards,STD-2.4,macos-metal2.4 / ios-metal2.4,C++14,__cplusplus 201402L,-,201402L (`C++14`),-,-,-,Set `LangOptions::CPlusPlus14=1`; define `__cplusplus=201402L`
1_standards,STD-3.0,metal3.0 (Unified prefixless),C++14,__cplusplus 201402L,-,-,201402L (`C++14`),-,-,Set `LangOptions::CPlusPlus14=1`; disable OS prefix check
1_standards,STD-3.1,metal3.1 (Unified prefixless),C++14,__cplusplus 201402L,-,-,201402L (`C++14`),-,-,Set `LangOptions::CPlusPlus14=1`; disable OS prefix check
1_standards,STD-3.2,metal3.2 (Unified prefixless),C++14,__cplusplus 201402L,-,-,201402L (`C++14`),-,-,Set `LangOptions::CPlusPlus14=1`; disable OS prefix check
1_standards,STD-4.0,metal4.0 (Unified prefixless),C++17,__cplusplus 201703L,-,-,-,201703L (`C++17`),-,Set `LangOptions::CPlusPlus17=1`; define `__cplusplus=201703L`
1_standards,STD-4.1,metal4.1 (Clean-room forward compat),C++17,__cplusplus 201703L,-,-,-,-,201703L (`C++17`),"Set `LangOptions::CPlusPlus17=1`; define `__cplusplus=201703L`, `__HAVE_METAL4_1__`, placement new (§1.5.4/§6.2), block_read/sparse_block_read (§6.13)"
2_features,FEAT-01,C++11 `auto` type deduction,C++11 Feature,`LangOptions::CPlusPlus11`,✅ Active,✅ Active,✅ Active,✅ Active,✅ Active,Always enabled across all MSL standards
2_features,FEAT-02,C++11 `decltype` & `decltype(auto)`,C++11/14 Feature,`__cpp_decltype`,✅ Active,✅ Active,✅ Active,✅ Active,✅ Active,Always enabled across all MSL standards
2_features,FEAT-03,C++11 Basic `constexpr` functions,C++11 Feature,`__cpp_constexpr 200704`,✅ Active (Single return),✅ Active,✅ Active,✅ Active,✅ Active,Single return expression restriction enforced in C++11 mode
2_features,FEAT-04,C++14 Generalized `constexpr` (loops/vars),C++14 Feature,`__cpp_constexpr 201304L`,❌ Rejected (`metal1.x`),✅ Active (`metal2.0+`),✅ Active,✅ Active,✅ Active,Loops and local mutations permitted inside `constexpr` starting in `metal2.0+`
2_features,FEAT-05,C++14 Variable Templates (`pi<T>`),C++14 Feature,`__cpp_variable_templates`,❌ Rejected (`C++14 ext`),✅ Active (`metal2.0+`),✅ Active,✅ Active,✅ Active,Template variables permitted inside `metal2.0+`
2_features,FEAT-06,C++14 Generic Lambdas (`auto` params),C++14 Feature,`__cpp_lambdas 200907L`,❌ Rejected (`auto` params),✅ Active (`metal2.0+`),✅ Active,✅ Active,✅ Active,Generic lambda parameters permitted starting in `metal2.0+`
2_features,FEAT-07,C++17 `if constexpr` static branching,C++17 Feature,`__cpp_if_constexpr`,✅ Backported by metalfe,✅ Backported by metalfe,✅ Backported by metalfe,✅ Standard (`C++17`),✅ Standard,Backported to `metal1.1..3.2` to enable stdlib header metaprogramming
2_features,FEAT-08,"C++17 Structured Bindings (`auto [u,v]`)",C++17 Feature,`__cpp_structured_bindings`,✅ Backported by metalfe,✅ Backported by metalfe,✅ Backported by metalfe,✅ Standard (`C++17`),✅ Standard,Backported across all MSL standards for tuple/struct unpacking
2_features,FEAT-09,C++17 Fold Expressions (`(args + ...)`),C++17 Feature,`__cpp_fold_expressions`,✅ Backported by metalfe,✅ Backported by metalfe,✅ Backported by metalfe,✅ Standard (`C++17`),✅ Standard,Variadic template fold expressions active across all standards
2_features,FEAT-10,MSL C++17 Restriction: C++20 `concepts` & `requires`,Architecture Restriction,`__cpp_concepts`,❌ Rejected across Apple,❌ Rejected across Apple,❌ Rejected across Apple,❌ Rejected across Apple,❌ Rejected (`metal4.1` is C++17-based),Hard semantic error (`unknown type name 'concept'`); rejected across C++17-based `metal4.1` per specification §1.5
2_features,FEAT-11,MSL Restriction: Virtual Functions,Architecture Restriction,`SEMA-CXX-001`,🚫 Rejected (`virtual not allowed`),🚫 Rejected,🚫 Rejected,🚫 Rejected,🚫 Rejected,Hard semantic error on `virtual` keyword (`Sema::CheckMSLClassDecl`)
2_features,FEAT-12,MSL Restriction: C++ Exceptions,Architecture Restriction,`SEMA-CXX-002`,🚫 Rejected (`try/catch/throw`),🚫 Rejected,🚫 Rejected,🚫 Rejected,🚫 Rejected,Hard semantic error on `try` / `catch` / `throw` tokens (`Sema::ActOnCXXTryBlock`)
2_features,FEAT-13,MSL Restriction: Dynamic Cast / RTTI,Architecture Restriction,`SEMA-CXX-003`,🚫 Rejected (`requires -frtti`),🚫 Rejected,🚫 Rejected,🚫 Rejected,🚫 Rejected,Hard semantic error on `dynamic_cast` / `typeid` (`Sema::ActOnCXXTypeConstructExpr`)
2_features,FEAT-14,MSL Restriction: Heap Allocation,Architecture Restriction,`SEMA-CXX-004`,🚫 Rejected (`new/delete forbidden`),🚫 Rejected,🚫 Rejected,🚫 Rejected,🚫 Rejected,Hard semantic error on `new` / `delete` (`Sema::ActOnCXXNewDeleteExpr`)
2_features,FEAT-15,"Type Traits: `is_same<T,U>`, `enable_if<C,T>`",C++11 Metaprogramming,`metal_type_traits`,✅ Supported,✅ Supported,✅ Supported,✅ Supported,✅ Supported,Provided in `<metal_type_traits>` header across all standards
2_features,FEAT-16,"Type Traits: `conjunction`, `integer_sequence`",C++14/17 Metaprogramming,`metal_type_traits` / `utility`,❌ Rejected (`metal1.x`),✅ Supported (`metal2.0+`),✅ Supported,✅ Supported,✅ Supported,Provided in `metal2.0+` for variadic trait manipulation and sequence generation
3_toolchains,TC-01,Xcode 26.0 (`/Applications/Xcode_26.0.app`),metalfe-32023.830.2,metal1.0..4.0 (`C++11/14/17`),Early Xcode 26.0 release,-,-,-,-,✅ 実機検証確認済 (`32023.830.2` 初期マスタ)
3_toolchains,TC-02,Xcode 26.0.1 (`/Applications/Xcode_26.0.1.app`),metalfe-32023.830.2,metal1.0..4.0 (`C++11/14/17`),Early Xcode 26.0.1 release,-,-,-,-,✅ 実機検証確認済
3_toolchains,TC-03,Xcode 26.1 (`/Applications/Xcode_26.1.app`),metalfe-32023.830.2,metal1.0..4.0 (`C++11/14/17`),Early Xcode 26.1 release,-,-,-,-,✅ 実機検証確認済
3_toolchains,TC-04,Xcode 26.1.1 (`/Applications/Xcode_26.1.1.app`),metalfe-32023.830.2,metal1.0..4.0 (`C++11/14/17`),Early Xcode 26.1.1 release,-,-,-,-,✅ 実機検証確認済
3_toolchains,TC-05,Xcode 26.2 (`/Applications/Xcode_26.2.app`),metalfe-32023.864,metal1.0..4.0 (`C++11/14/17`),-,Mid-tier optimization `.864`,-,-,-,✅ 実機検証確認済 (`32023.864` 中期リリース)
3_toolchains,TC-06,Xcode 26.2.0 (`/Applications/Xcode_26.2.0.app`),metalfe-32023.864,metal1.0..4.0 (`C++11/14/17`),-,Mid-tier optimization `.864`,-,-,-,✅ 実機検証確認済
3_toolchains,TC-07,Xcode 26.3 (`/Applications/Xcode_26.3.app`),metalfe-32023.864,metal1.0..4.0 (`C++11/14/17`),-,Mid-tier optimization `.864`,-,-,-,✅ 実機検証確認済
3_toolchains,TC-08,Xcode 26.3.0 (`/Applications/Xcode_26.3.0.app`),metalfe-32023.864,metal1.0..4.0 (`C++11/14/17`),-,Mid-tier optimization `.864`,-,-,-,✅ 実機検証確認済
3_toolchains,TC-09,Xcode 26.4 (`/Applications/Xcode_26.4.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済 (`32023.883` リファレンス)
3_toolchains,TC-10,Xcode 26.4.1 (`/Applications/Xcode_26.4.1.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済
3_toolchains,TC-11,Xcode 26.5 (`/Applications/Xcode.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済 (メインテストベンチ)
3_toolchains,TC-12,Xcode 26.5.0 (`/Applications/Xcode_26.5.0.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済
3_toolchains,TC-13,Xcode 26.6 (`/Applications/Xcode_26.6.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済
3_toolchains,TC-14,Xcode 26.6.0 (`/Applications/Xcode_26.6.0.app`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,Reference master `.883`,-,-,✅ 実機検証確認済
3_toolchains,TC-15,MobileAsset Cryptex (`Metal.xctoolchain`),metalfe-32023.883 (v17.6.42.0),metal1.0..4.0 (`C++11/14/17`),-,-,-,Standalone Cryptex SDK,-,✅ 実機検証確認済 (スタンドアロン版)
3_toolchains,TC-16,CommandLineTools (`/Library/Developer/...`),metalfe-32023.883,metal1.0..4.0 (`C++11/14/17`),-,-,-,CommandLineTools SDK,-,✅ 実機検証確認済 (コマンドライン単独)
3_toolchains,TC-17,MobileAsset Cryptex Toolchain 17F109 (`MetalToolchain-v17.6.109.0.CCBpCv`),metalfe-32023.883 (v17.6.109.0),metal1.0..4.0 (`C++11/14/17`),Exact `MTLB` single slices,Exact FMA / FFastMath,Exact `air64_v28` bitcode,Exact `UUID` / `HDYN`,Exact C++17 compatibility,✅ 実機検証確認済 (`Xcode 26.6 -downloadComponent metalToolchain` 実証)
3_toolchains,TC-18,MobileAsset Cryptex Toolchain 324 (`MetalToolchain-v17.1.324.0.AxtuQi`),metalfe-32023.830.2 (v17.1.324.0),metal1.0..4.0 (`C++11/14/17`),Exact `MTLB` single slices,Exact FMA / FFastMath,Exact `air64_v28` bitcode,Exact `UUID` / `HDYN`,Exact C++17 compatibility,✅ 実機検証確認済 (スタンドアロン版)
3_toolchains,TC-19,Clean-Room Compiler (`clang fork` v1.0),clang-metal-cleanroom-v1.0,metal1.0..4.1 (`C++11/14/17`),Exact `MTLB` single slices,Exact FMA / FFastMath,Exact `air64_v28` bitcode,Exact `UUID` / `HDYN`,Exact C++17 `placement new` & `block_read`,✅ 実証互換コンパイラ (`write_metallib.py` 実証済 / Metal 4.1 C++17ベース完全対応)
