msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
float abs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,24
float acos(float x),metal,,builtin_direct,__metal_acos,,metal_math,28
float acosh(float x),metal,,builtin_direct,__metal_acosh,,metal_math,32
float asin(float x),metal,,builtin_direct,__metal_asin,,metal_math,36
float asinh(float x),metal,,builtin_direct,__metal_asinh,,metal_math,40
float atan(float y_over_x),metal,,builtin_direct,__metal_atan,,metal_math,44
"float atan2(float y, float x)",metal,,builtin_direct,__metal_atan2,,metal_math,48
float atanh(float x),metal,,builtin_direct,__metal_atanh,,metal_math,52
float ceil(float x),metal,,builtin_direct,__metal_ceil,,metal_math,56
"float copysign(float x, float y)",metal,,header_composed,,,metal_math,60
float cos(float x),metal,,builtin_direct,__metal_cos,,metal_math,69
float cosh(float x),metal,,builtin_direct,__metal_cosh,,metal_math,73
float cospi(float x),metal,__HAVE_TRIG_PI__,builtin_direct,__metal_cospi,,metal_math,78
"float divide(float x, float y)",metal,__HAVE_DIVIDE__,builtin_direct,__metal_divide,,metal_math,84
float exp(float x),metal,,builtin_direct,__metal_exp,,metal_math,89
float exp10(float x),metal,,builtin_direct,__metal_exp10,,metal_math,93
float exp2(float x),metal,,builtin_direct,__metal_exp2,,metal_math,97
float fabs(float x),metal,,builtin_direct,__metal_fabs,,metal_math,101
"float fdim(float x, float y)",metal,,builtin_direct,__metal_select,,metal_math,105
float floor(float x),metal,,builtin_direct,__metal_floor,,metal_math,111
"float fma(float x, float y, float z)",metal,__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,116
"float fmax(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,121
"float fmax3(float x, float y, float z)",metal,__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,126
"float fmedian3(float x, float y, float z)",metal,__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,132
"float fmin(float x, float y)",metal,,builtin_direct,__metal_fmin,,metal_math,137
"float fmin3(float x, float y, float z)",metal,__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,142
"float fmod(float x, float y)",metal,,builtin_direct,__metal_fmod,,metal_math,147
float fract(float x),metal,,builtin_direct,__metal_fract,,metal_math,151
"float frexp(float x, thread int &exp)",metal,,builtin_direct,__metal_frexp,,metal_math,155
int ilogb(float x),metal,,builtin_direct,__metal_ilogb,,metal_math,159
"float ldexp(float x, int k)",metal,,builtin_direct,__metal_ldexp,,metal_math,163
float log(float x),metal,,builtin_direct,__metal_log,,metal_math,167
float log10(float x),metal,,builtin_direct,__metal_log10,,metal_math,171
float log2(float x),metal,,builtin_direct,__metal_log2,,metal_math,175
"float max(float x, float y)",metal,,builtin_direct,__metal_fmax,,metal_math,179
"float max3(float x, float y, float z)",metal,__HAVE_MAX3__,builtin_direct,__metal_fmax3,,metal_math,184
