member_signature,class,guard,metal_builtins,file,line
"METAL_FUNC void atomic_thread_fence(mem_flags flags, memory_order order, thread_scope scope = thread_scope_device) METAL_CONST_ARG(flags) METAL_CONST_ARG(order) METAL_CONST_ARG(scope)",,__HAVE_ATOMIC_FENCE__,__metal_atomic_fence,metal_atomic,153
"METAL_FUNC void atomic_store_explicit( volatile threadgroup  _atomic<T> *object, U desired, memory_order order) METAL_CONST_ARG(order) METAL_VALID_STORE_ORDER(order)",,,__metal_atomic_store_explicit,metal_atomic,189
"METAL_FUNC void atomic_store_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U desired, memory_order order) METAL_CONST_ARG(order) METAL_VALID_STORE_ORDER(order)",,,__metal_atomic_store_explicit,metal_atomic,197
"METAL_FUNC T atomic_load_explicit( const volatile threadgroup  _atomic<T> *object, memory_order order) METAL_CONST_ARG(order) METAL_VALID_LOAD_ORDER(order)",,,__metal_atomic_load_explicit,metal_atomic,240
"METAL_FUNC T atomic_load_explicit( #if defined(__HAVE_COHERENT__) const volatile device coherent(device) _atomic<T> *object, #else const volatile device _atomic<T> *object, #endif memory_order order) METAL_CONST_ARG(order) METAL_VALID_LOAD_ORDER(order)",,,__metal_atomic_load_explicit,metal_atomic,247
"METAL_FUNC T atomic_exchange_explicit( volatile threadgroup  _atomic<T> *object, U desired, memory_order order) METAL_CONST_ARG(order) METAL_VALID_EXCHANGE_ORDER(order)",,,__metal_atomic_exchange_explicit,metal_atomic,289
"METAL_FUNC T atomic_exchange_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U desired, memory_order order) METAL_CONST_ARG(order) METAL_VALID_EXCHANGE_ORDER(order)",,,__metal_atomic_exchange_explicit,metal_atomic,297
"METAL_FUNC bool atomic_compare_exchange_weak_explicit( volatile threadgroup  _atomic<T> *object, thread T *expected, U desired, memory_order success, memory_order failure) METAL_CONST_ARG(success) METAL_CONST_ARG(failure) METAL_VALID_COMPARE_EXCHANGE_FAILURE_ORDER(failure) METAL_VALID_COMPARE_EXCHANGE_SUCCESS_ORDER(success, failure)",,,__metal_atomic_compare_exchange_weak_explicit,metal_atomic,341
"METAL_FUNC bool atomic_compare_exchange_weak_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif thread T *expected, U desired, memory_order success, memory_order failure) METAL_CONST_ARG(success) METAL_CONST_ARG(failure) METAL_VALID_COMPARE_EXCHANGE_FAILURE_ORDER(failure) METAL_VALID_COMPARE_EXCHANGE_SUCCESS_ORDER(success, failure)",,,__metal_atomic_compare_exchange_weak_explicit,metal_atomic,354
"METAL_FUNC T atomic_fetch_add_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_add_explicit,metal_atomic,492
"METAL_FUNC T atomic_fetch_add_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_add_explicit,metal_atomic,500
"METAL_FUNC T atomic_fetch_and_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_and_explicit,metal_atomic,512
"METAL_FUNC T atomic_fetch_and_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_and_explicit,metal_atomic,520
"METAL_FUNC T atomic_fetch_max_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_max_explicit,metal_atomic,532
"METAL_FUNC T atomic_fetch_max_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_max_explicit,metal_atomic,540
"METAL_FUNC T atomic_fetch_min_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_min_explicit,metal_atomic,552
"METAL_FUNC T atomic_fetch_min_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_min_explicit,metal_atomic,560
"METAL_FUNC T atomic_fetch_or_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_or_explicit,metal_atomic,572
"METAL_FUNC T atomic_fetch_or_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_or_explicit,metal_atomic,580
"METAL_FUNC T atomic_fetch_sub_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_sub_explicit,metal_atomic,592
"METAL_FUNC T atomic_fetch_sub_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_sub_explicit,metal_atomic,600
"METAL_FUNC T atomic_fetch_xor_explicit( volatile threadgroup  _atomic<T> *object, U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_xor_explicit,metal_atomic,612
"METAL_FUNC T atomic_fetch_xor_explicit( #if defined(__HAVE_COHERENT__) volatile device coherent(device) _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,,__metal_atomic_fetch_xor_explicit,metal_atomic,620
"METAL_FUNC void atomic_max_explicit( #if defined(__HAVE_COHERENT__) volatile coherent(device) device _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,__HAVE_ATOMIC_ULONG_MIN_MAX__,__metal_atomic_max_explicit,metal_atomic,647
"METAL_FUNC void atomic_min_explicit( #if defined(__HAVE_COHERENT__) volatile coherent(device) device _atomic<T> *object, #else volatile device _atomic<T> *object, #endif U operand, memory_order order) METAL_CONST_ARG(order) METAL_VALID_MODIFY_ORDER(order)",,__HAVE_ATOMIC_ULONG_MIN_MAX__,__metal_atomic_min_explicit,metal_atomic,671
METAL_FUNC command_buffer() thread = default;,command_buffer,,__metal_get_size_command_buffer,metal_command_buffer,26
METAL_FUNC size_t size() const device,command_buffer,,__metal_get_size_command_buffer,metal_command_buffer,175
METAL_FUNC size_t size() const device coherent(device),command_buffer,__HAVE_COHERENT__,__metal_get_size_command_buffer,metal_command_buffer,180
METAL_FUNC size_t size() const constant,command_buffer,,__metal_get_size_command_buffer,metal_command_buffer,185
METAL_FUNC size_t size() const ray_data,command_buffer,__HAVE_RAYTRACING__,__metal_get_size_command_buffer,metal_command_buffer,190
METAL_FUNC size_t size() const object_data,command_buffer,__HAVE_MESH__,__metal_get_size_command_buffer,metal_command_buffer,196
