builtin,status,class
__metal_pack_snorm1x16,generated,_r16snorm_tag
__metal_unpack_snorm1x16,generated,_r16snorm_tag
__metal_pack_unorm1x16,generated,_r16unorm_tag
__metal_unpack_unorm1x16,generated,_r16unorm_tag
__metal_pack_snorm1x8,generated,_r8snorm_tag
__metal_unpack_snorm1x8,generated,_r8snorm_tag
__metal_pack_unorm1x8,generated,_r8unorm_tag
__metal_unpack_unorm1x8,generated,_r8unorm_tag
__metal_pack_unorm_rg11b10f,generated,_rg11b10f_tag
__metal_unpack_unorm_rg11b10f,generated,_rg11b10f_tag
__metal_pack_snorm2x8,generated,_rg8snorm_tag
__metal_unpack_snorm2x8,generated,_rg8snorm_tag
__metal_pack_unorm2x8,generated,_rg8unorm_tag
__metal_unpack_unorm2x8,generated,_rg8unorm_tag
__metal_pack_unorm_rgb9e5,generated,_rgb9e5_tag
__metal_unpack_unorm_rgb9e5,generated,_rgb9e5_tag
__metal_pack_snorm4x16,generated,_rgba16snorm_tag
__metal_unpack_snorm4x16,generated,_rgba16snorm_tag
__metal_pack_unorm4x16,generated,_rgba16unorm_tag
__metal_unpack_unorm4x16,generated,_rgba16unorm_tag
