cell,air_candidate,used_via,what_to_determine,probe_method
__metal_abort_intersection_query,air.abort.intersection.query,method,type-signature/semantics unknown; probe with .ll dump,metal_raytracing:4383: __metal_abort_intersection_query(
__metal_absdiff,air.absdiff,free+method,type-signature/semantics unknown; probe with .ll dump,"metal_integer:19: return __metal_absdiff(x, y);"
__metal_addsat,air.addsat,free+method,type-signature/semantics unknown; probe with .ll dump,"metal_integer:23: return __metal_addsat(x, y);"
__metal_atomic_compare_exchange_weak_explicit,air.atomic.compare.exchange.weak,method,type-signature/semantics unknown; probe with .ll dump,"metal_atomic:349: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(ob"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,air.atomic_compare_exchange_weak_explicit_texture_1d_array,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture1d_array:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coo"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,air.atomic_compare_exchange_weak_explicit_texture_1d,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture1d:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,air.atomic_compare_exchange_weak_explicit_texture_2d_array,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture2d_array:1392: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, co"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,air.atomic_compare_exchange_weak_explicit_texture_2d,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture2d:1404: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2"
__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,air.atomic_compare_exchange_weak_explicit_texture_3d,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture3d:1290: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3"
__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,air.atomic_compare_exchange_weak_explicit_texture_buffer_1d,method,type-signature/semantics unknown; probe with .ll dump,"__bits/metal_texture_buffer:402: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coo"
