path,kind,size_bytes,sha256_16,magic,platform,n_lines,n_metal_func,n_unique___metal_builtins,n_class_struct_decls,n_guards_have,guards_have,sample_builtins,ar_members,evidence
include/module.modulemap,header,3467,8a463e5263fccb24,text,,171,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/opencl-c-base.h,header,31275,e407ea7f28094f3c,text,,834,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/opencl-c.h,header,911384,a97860a234f1e3ea,text,,18500,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/metal/TargetConditionals.h,header,3818,fdda4179b16b59d8,text,,130,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/metal/metal_array,header,28913,b6aa9262cd80ae05,text,,1197,232,0,9,5,__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__,,,reference/clang/32023.883 file entity scan
include/metal/metal_assert,header,575,cac0f277ad069815,text,,23,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/metal/metal_atomic,header,33494,31011f5642e8db67,text,,687,25,14,29,7,__HAVE_ATOMIC_BOOL__;__HAVE_ATOMIC_FENCE__;__HAVE_ATOMIC_FLOAT__;__HAVE_ATOMIC_TEMPLATE__;__HAVE_ATOMIC_ULONG_MIN_MAX__;__HAVE_ATOMIC_ULONG__;__HAVE_COHERENT__,__metal_atomic_compare_exchange_weak_explicit;__metal_atomic_exchange_explicit;__metal_atomic_fence;__metal_atomic_fetch_add_explicit;__metal_atomic_fetch_and_explicit,,reference/clang/32023.883 file entity scan
include/metal/metal_command_buffer,header,62115,30250ac6af88e3a2,text,,1157,282,38,8,16,__HAVE_COHERENT__;__HAVE_COMPUTE_COMMANDS_SET_IMAGEBLOCK_SIZE__;__HAVE_COMPUTE_COMMANDS__;__HAVE_COMPUTE_COMMAND_KERNEL_BUFFER_STRIDE__;__HAVE_GET_SIZE_COMMAND_BUFFER__;__HAVE_MESH__;__HAVE_RAYTRACING__;__HAVE_RENDER_COMMANDS__;__HAVE_RENDER_COMMAND_DEPTH_BIAS__;__HAVE_RENDER_COMMAND_DEPTH_CLIP_MODE__;__HAVE_RENDER_COMMAND_DEPTH_STENCIL_STATE__;__HAVE_RENDER_COMMAND_MESH__;__HAVE_RENDER_COMMAND_RENDERING__;__HAVE_RENDER_COMMAND_VERTEX_BUFFER_STRIDE__;__HAVE_RENDER_DRAW_PATCHES_TESSELLATION_FACTOR_SCALE__;__HAVE_RENDER_PIPELINE_STATE__,__metal_clear_barrier_compute_command;__metal_clear_barrier_render_command;__metal_command_buffer_t;__metal_compute_pipeline_state_t;__metal_concurrent_dispatch_threadgroups_compute_command,,reference/clang/32023.883 file entity scan
include/metal/metal_common,header,16440,930e9dc9b086c4ba,text,,633,132,4,0,2,__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__,__metal_clamp;__metal_mix;__metal_saturate;__metal_sign,,reference/clang/32023.883 file entity scan
include/metal/metal_compute,header,2910,87047a7e1973781e,text,,106,8,2,3,7,__HAVE_BARRIER_MEMORY_SCOPE__;__HAVE_COMPUTE_IMPROVED_INDIRECT__;__HAVE_DRAW_INDIRECT__;__HAVE_IMAGEBLOCKS__;__HAVE_MEMFLAG_OPERATORS__;__HAVE_MESH__;__HAVE_TEXTURE_READWRITE__,__metal_simdgroup_barrier;__metal_wg_barrier,,reference/clang/32023.883 file entity scan
include/metal/metal_config,header,74465,103950fd112a74f7,text,,1881,0,0,0,0,,,,reference/clang/32023.883 file entity scan
include/metal/metal_cooperative_tensor,header,20873,d1cfa1ee4c82ec53,text,,585,57,0,11,1,__HAVE_TENSOR__,,,reference/clang/32023.883 file entity scan
include/metal/metal_curves,header,5562,e638ee61839ea43b,text,,197,0,0,0,1,__HAVE_RAYTRACING_CURVES__,,,reference/clang/32023.883 file entity scan
include/metal/metal_extended_vector,header,14157,3e866222de1a475b,text,,451,0,0,0,4,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SIMD_TYPES_PREFIX__,,,reference/clang/32023.883 file entity scan
include/metal/metal_functional,header,37927,f81e5cc26a66183d,text,,1577,0,0,4,4,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__,,,reference/clang/32023.883 file entity scan
include/metal/metal_geometric,header,25278,a5f977910f9e6f99,text,,1038,168,1,5,2,__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__,__metal_dot,,reference/clang/32023.883 file entity scan
include/metal/metal_graphics,header,5253,fe768ac31a28f53b,text,,259,44,8,3,4,__HAVE_DRAW_INDIRECT__;__HAVE_MESH__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_RAYTRACING__,__metal_dfdx;__metal_dfdy;__metal_discard_fragment;__metal_fwidth;__metal_get_num_samples,,reference/clang/32023.883 file entity scan
include/metal/metal_imageblocks,header,9199,c1df8a419b9f7344,text,,269,22,13,20,2,__HAVE_IMAGEBLOCKS__;__HAVE_TEXTURE_CUBE_ARRAY__,__metal_get_imageblock_color_coverage_mask;__metal_get_imageblock_height;__metal_get_imageblock_num_colors;__metal_get_imageblock_samples;__metal_get_imageblock_width,,reference/clang/32023.883 file entity scan
include/metal/metal_initializer_list,header,980,2457f29f41fa234f,text,,49,0,0,1,0,,,,reference/clang/32023.883 file entity scan
include/metal/metal_integer,header,105755,b613484eaf54c082,text,,5025,1080,24,0,8,__HAVE_INTEGER_BIT_EDIT_FUNCTIONS__;__HAVE_INTEGER_LONG_FUNCTIONS__;__HAVE_MAD24__;__HAVE_MAX3__;__HAVE_MEDIAN3__;__HAVE_MIN3__;__HAVE_MUL24__;__HAVE_NATIVE_WIDE_VECTORS__,__metal_abs;__metal_absdiff;__metal_addsat;__metal_clamp;__metal_clz,,reference/clang/32023.883 file entity scan
include/metal/metal_interpolate,header,2016,b91e94b1d9e687f7,text,,76,8,9,5,1,__HAVE_INTERPOLATION_FUNCTIONS__,__metal_interpolant_t;__metal_interpolate_center_no_perspective;__metal_interpolate_center_perspective;__metal_interpolate_centroid_no_perspective;__metal_interpolate_centroid_perspective,,reference/clang/32023.883 file entity scan
include/metal/metal_limits,header,23404,3f9f98aff3a2feee,text,,756,0,0,28,2,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__,,,reference/clang/32023.883 file entity scan
include/metal/metal_logging,header,3587,8828858baebf5fb8,text,,122,9,1,1,1,__HAVE_LOGGING__,__metal_os_log,,reference/clang/32023.883 file entity scan
include/metal/metal_math,header,186336,ddc142d4a78fd188,text,,7653,1650,47,0,12,__HAVE_DIVIDE__;__HAVE_FMAX3__;__HAVE_FMA__;__HAVE_FMEDIAN3__;__HAVE_FMIN3__;__HAVE_MAX3__;__HAVE_MEDIAN3__;__HAVE_MIN3__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_NEXTAFTER__;__HAVE_TRIG_PI__,__metal_acos;__metal_acosh;__metal_asin;__metal_asinh;__metal_atan,,reference/clang/32023.883 file entity scan
include/metal/metal_matrix,header,210421,d2d93552513325f3,text,,5104,691,0,4,9,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MAKE_FILLED_MATRIX__;__HAVE_MATRIX_MULTIPLE_SCALAR_CONSTRUCTORS__;__HAVE_MATRIX_SCALAR_DIVISION__;__HAVE_MATRIX_THREADGROUP_DEFAULT_CONSTRUCTOR__;__HAVE_MESH__;__HAVE_NATIVE_DOUBLE__;__HAVE_RAYTRACING__,,,reference/clang/32023.883 file entity scan
include/metal/metal_mesh,header,3115,4c6cdc95ad499c22,text,,125,13,8,6,1,__HAVE_MESH__,__metal_mesh_grid_properties_t;__metal_mesh_t;__metal_set_index_mesh;__metal_set_indices_mesh;__metal_set_primitive_count_mesh,,reference/clang/32023.883 file entity scan
include/metal/metal_numeric,header,579,0e4f574a7d3cc604,text,,24,2,0,0,0,,,,reference/clang/32023.883 file entity scan
include/metal/metal_pack,header,3789,2712ccc6a1ecf5fb,text,,161,32,16,0,1,__HAVE_PACK_UNPACK_RGB10A2_SNORM_FUNCTIONS__,__metal_pack_snorm2x16;__metal_pack_snorm4x8;__metal_pack_snorm_rgb10a2;__metal_pack_unorm2x16;__metal_pack_unorm4x8,,reference/clang/32023.883 file entity scan
include/metal/metal_packed_numeric,header,3563,845298bfd88242cf,text,,120,5,0,11,3,__HAVE_INT4B_FORMAT_TYPE__;__HAVE_PACKED_NUMERIC_TYPE__;__HAVE_PACKED_NUMERIC__,,,reference/clang/32023.883 file entity scan
include/metal/metal_packed_vector,header,15607,e6fb7f54b247f258,text,,373,0,0,0,4,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SIMD_TYPES_PREFIX__,,,reference/clang/32023.883 file entity scan
include/metal/metal_pixel,header,40045,2b29c08411b0ae8f,text,,1473,225,32,70,5,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_PIXEL_DATA_TYPES__;__HAVE_RAYTRACING__,__metal_pack_snorm1x16;__metal_pack_snorm1x8;__metal_pack_snorm2x16;__metal_pack_snorm2x8;__metal_pack_snorm4x16,,reference/clang/32023.883 file entity scan
include/metal/metal_quadgroup,header,8963,a7d4c387a17aeebb,text,,275,31,29,5,9,__HAVE_NATIVE_DOUBLE__;__HAVE_QUADGROUP_BALLOT__;__HAVE_QUADGROUP_BROADCAST_FIRST__;__HAVE_QUADGROUP_IS_FIRST__;__HAVE_QUADGROUP_REDUCTION__;__HAVE_QUADGROUP_SHUFFLE_AND_FILL__;__HAVE_QUADGROUP_SHUFFLE_ROTATE_DOWN__;__HAVE_QUADGROUP_SHUFFLE_ROTATE_UP__;__HAVE_QUADGROUP__,__metal_quad_active_threads_mask;__metal_quad_all;__metal_quad_and;__metal_quad_any;__metal_quad_ballot,,reference/clang/32023.883 file entity scan
include/metal/metal_raytracing,header,202082,4ff62d67ef3b4903,text,,4733,719,84,126,18,__HAVE_COHERENT__;__HAVE_MESH__;__HAVE_RAYTRACING_CURVES__;__HAVE_RAYTRACING_DIRECT_ACCESS__;__HAVE_RAYTRACING_EXTENDED_LIMITS__;__HAVE_RAYTRACING_INDIRECT_INSTANCE_BUILD__;__HAVE_RAYTRACING_INSTANCE_RANDOM_ACCESS__;__HAVE_RAYTRACING_INSTANCE_TRANSFORMS__;__HAVE_RAYTRACING_INTERSECTION_FUNCTION_BUFFER__;__HAVE_RAYTRACING_INTERSECTION_FUNCTION_HANDLES__;__HAVE_RAYTRACING_INTERSECTION_QUERY__;__HAVE_RAYTRACING_MOTION__;__HAVE_RAYTRACING_MULTI_LEVEL_INSTANCING__;__HAVE_RAYTRACING_PRIMITIVE_DATA__;__HAVE_RAYTRACING_TABLE_GET_BUFFERS__;__HAVE_RAYTRACING_TABLE_SET_BUFFERS__;__HAVE_RAYTRACING_USER_INSTANCE_ID__;__HAVE_RAYTRACING__,__metal_abort_intersection_query;__metal_commit_bounding_box_intersection_intersection_query;__metal_commit_curve_intersection_intersection_query;__metal_commit_triangle_intersection_intersection_query;__metal_get_buffer_intersection_function_table,,reference/clang/32023.883 file entity scan
