symbol,n_archives,example_archive,member,cc,replace_class,air_vocab_direct,air_vocab_closure,llvm_vocab_direct,internal_callees,module_callees,data_callees,linked_metal_builtin,evidence,source_ref
_Z10atomic_addPU7CLlocalVii,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.add.s.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_addPU7CLlocalVjj,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.add.u.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_addPU8CLglobalVii,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.global.add.s.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_addPU8CLglobalVjj,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.global.add.u.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_andPU7CLlocalVii,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.and.s.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_andPU7CLlocalVjj,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.and.u.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_andPU8CLglobalVii,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.global.and.s.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_andPU8CLglobalVjj,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.global.and.u.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_decPU7CLlocalVi,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.sub.s.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
_Z10atomic_decPU7CLlocalVj,2,libopencl_rt_osx.a,atomic.metal.air,hidden,air-direct,air.atomic.local.sub.u.i32,,,,,,,apple_rtlib_ir,ir_runtime_functions.csv + callgraph_edges.csv
