air_impl_symbol,impl_base,metal_builtin,msl_api_example,impl_calls_air_direct,impl_calls_air_2hop
__air_impl_nextafter_bf16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.any.v3i1;air.atomic.global.add.u.i32;air.atomic.global.load.i32;air.atomic.global.max.u.i32;air.atomic.global.store.i32;air.atomic.global.sub.u.i32;air.store.system_coherent.volatile.i8.p1i8
__air_impl_nextafter_f16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.atomic.global.cmpxchg.weak.i32;air.atomic.global.load.i32;air.dot.v3f32
__air_impl_nextafter_f32,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.clz.i32;air.convert.f.f32.s.i32;air.convert.f.f32.u.i32;air.ctz.i32;air.dot.v3f32;air.fast_clamp.f32;air.fast_fabs.f32;air.fast_fmax.f32;air.fast_fmax.v3f32;air.fast_fmin.f32;air.fast_fmin.v3f32;air.fast_rsqrt.f32;air.fast_saturate.f32;air.fast_sqrt.f32
__air_impl_nextafter_f64,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,
__air_impl_nextafter_v16bf16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.atomic.global.add.u.i32;air.fast_clamp.f32;air.fast_fmax.f32;air.fast_fmin.f32;air.mix.f32
__air_impl_nextafter_v16f16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.convert.f.f32.u.i32;air.dot.v2f32;air.dot.v3f32;air.fast_clamp.f32;air.fast_fmax.f32;air.fast_fmax.v3f32;air.fast_fmin.v3f32;air.fast_saturate.f32;air.fast_sqrt.f32
__air_impl_nextafter_v16f32,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,
__air_impl_nextafter_v16f64,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,
__air_impl_nextafter_v2bf16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.any.v3i1;air.atomic.global.add.u.i32;air.atomic.global.load.i32;air.atomic.global.max.u.i32;air.atomic.global.store.i32;air.atomic.global.sub.u.i32;air.store.system_coherent.volatile.i8.p1i8
__air_impl_nextafter_v2f16,nextafter,__metal_nextafter,"float nextafter(float x, float y) | float2 nextafter(float2 x, float2 y) | float3 nextafter(float3 x, float3 y)",,air.atomic.global.cmpxchg.weak.i32;air.atomic.global.load.i32;air.dot.v3f32
