archive,member,size_bytes
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_max_traversal_stack_elems_per_bvh,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_traversal_stack_elem_size,2084
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instance_stack_elem_size,2084
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size,2084
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size,2084
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_triangle_data,2116
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_triangle_data,2116
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_instancing,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_instancing,2116
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_instancing_triangle_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_instancing_triangle_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_curve_data,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_curve_data,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_triangle_data_curve_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_triangle_data_curve_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_instancing_curve_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_instancing_curve_data,2132
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_size_instancing_triangle_data_curve_data,2148
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_stack_alloc_size_instancing_triangle_data_curve_data,2148
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_max_traversal_stack_elems_per_bvh,2116
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_traversal_stack_elem_size,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_instance_stack_elem_size,2100
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersection_query_data_alloc_header_size,2100
MTLRaytracingRuntime.rtlib,__loweringlib.internal.0,2740
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect,11812
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_triangle_data,13044
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_curve_data,12388
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_triangle_data_curve_data,13540
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing,15828
MTLRaytracingRuntime.rtlib,__loweringlib.internal.1,3476
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data,16564
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data,17316
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data,17956
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_world_space_data,19540
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data_world_space_data,20244
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_world_space_data,20996
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data_world_space_data,21652
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_primitive_motion,13988
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_triangle_data_primitive_motion,15252
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_curve_data_primitive_motion,14580
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_triangle_data_curve_data_primitive_motion,15780
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_primitive_motion,18932
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data_primitive_motion,19716
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_primitive_motion,20484
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data_primitive_motion,21140
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_world_space_data_primitive_motion,22788
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data_world_space_data_primitive_motion,23524
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_world_space_data_primitive_motion,24308
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data_world_space_data_primitive_motion,24980
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_instance_motion,19780
MTLRaytracingRuntime.rtlib,__loweringlib.internal.2,3860
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data_instance_motion,20468
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_instance_motion,21220
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data_instance_motion,21860
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_world_space_data_instance_motion,23124
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_curve_data_world_space_data_instance_motion,23828
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_world_space_data_instance_motion,24596
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_triangle_data_curve_data_world_space_data_instance_motion,25284
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_intersect_instancing_primitive_motion_instance_motion,22596
