archive,impl_object,public_symbols_before_next_impl
libair_rt_osx.rtlib,__loweringlib.internal.0,__air_impl_nextafter_bf16
libair_rt_osx.rtlib,__loweringlib.internal.1,__air_impl_nextafter_v2bf16;__air_impl_nextafter_v3bf16
libair_rt_osx.rtlib,__loweringlib.internal.2,__air_impl_nextafter_v4bf16
libair_rt_osx.rtlib,__loweringlib.internal.3,__air_impl_nextafter_v8bf16
libair_rt_osx.rtlib,__loweringlib.internal.4,__air_impl_nextafter_v16bf16
libair_rt_osx.rtlib,__loweringlib.internal.5,__air_impl_nextafter_f16
libair_rt_osx.rtlib,__loweringlib.internal.6,__air_impl_nextafter_v2f16;__air_impl_nextafter_v3f16
libair_rt_osx.rtlib,__loweringlib.internal.7,__air_impl_nextafter_v4f16
libair_rt_osx.rtlib,__loweringlib.internal.8,__air_impl_nextafter_v8f16
libair_rt_osx.rtlib,__loweringlib.internal.9,__air_impl_nextafter_v16f16
libair_rt_osx.rtlib,__loweringlib.internal.10,__air_impl_nextafter_f32
libair_rt_osx.rtlib,__loweringlib.internal.11,__air_impl_nextafter_v2f32;__air_impl_nextafter_v3f32
libair_rt_osx.rtlib,__loweringlib.internal.12,__air_impl_nextafter_v4f32
libair_rt_osx.rtlib,__loweringlib.internal.13,__air_impl_nextafter_v8f32
libair_rt_osx.rtlib,__loweringlib.internal.14,__air_impl_nextafter_v16f32
libair_rt_osx.rtlib,__loweringlib.internal.15,__air_impl_nextafter_f64
libair_rt_osx.rtlib,__loweringlib.internal.16,__air_impl_nextafter_v2f64;__air_impl_nextafter_v3f64
libair_rt_osx.rtlib,__loweringlib.internal.17,__air_impl_nextafter_v4f64
libair_rt_osx.rtlib,__loweringlib.internal.18,__air_impl_nextafter_v8f64
libair_rt_osx.rtlib,__loweringlib.internal.19,__air_impl_nextafter_v16f64
libair_rt_osx.rtlib,(no_impl_tail),__air_impl_convert_f_f64_f_f32
libmetal_rt_ios.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_iosmac.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_iossim.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_osx.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_tvos.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_tvossim.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_watchos.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_watchossim.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_xros.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libmetal_rt_xrossim.a,(no_impl_tail),metal_cstring.cpp.o;metal_integer.cpp.o;metal_logging.cpp.o;metal_math.cpp.o;target.cpp.o
libopencl_rt_osx.a,(no_impl_tail),async-copies-and-prefetch.metal.air;atomic.metal.air;common.metal.air;explicit-conversions.metal.air;explicit-memory-fence.metal.air;geometric.metal.air;image-read-write.metal.air;integer.metal.air;math-default.metal.air;misc-vector.metal.air;printf.metal.air;relational.metal.air;synchronization.metal.air;vector-data-load-and-store.metal.air;work-item.metal.air
libopencl_rt_osx_fast-relaxed-math.a,(no_impl_tail),async-copies-and-prefetch.metal.air;atomic.metal.air;common.metal.air;explicit-conversions.metal.air;explicit-memory-fence.metal.air;geometric.metal.air;image-read-write.metal.air;integer.metal.air;math-fast-relaxed-math.metal.air;misc-vector.metal.air;printf.metal.air;relational.metal.air;synchronization.metal.air;vector-data-load-and-store.metal.air;work-item.metal.air
libpost_mesh_dump_rt_osx.rtlib,__loweringlib.internal.0,
libpost_mesh_dump_rt_osx.rtlib,(no_impl_tail),__post_mesh_dump_impl_trace_mesh_entry
libresource_tracking_rt_osx.rtlib,__loweringlib.internal.0,
libresource_tracking_rt_osx.rtlib,__loweringlib.internal.1,
libresource_tracking_rt_osx.rtlib,__loweringlib.internal.2,
libresource_tracking_rt_osx.rtlib,(no_impl_tail),__resource_tracking_impl_patching_read.p1i8.p1i8;__resource_tracking_impl_patching_read.p1i8.p2i8;__resource_tracking_impl_patching_read.p2i8.p1i8;__resource_tracking_impl_patching_read.p2i8.p2i8;__resource_tracking_impl_patching_texture_read.p1i8;__resource_tracking_impl_patching_texture_read.p2i8;__resource_tracking_impl_patching_sampler_read.p1i8;__resource_tracking_impl_patching_sampler_read.p2i8;__resource_tracking_impl_patching_compute_pipeline_read.p1i8;__resource_tracking_impl_patching_compute_pipeline_read.p2i8;__resource_tracking_impl_patching_render_pipeline_read.p1i8;__resource_tracking_impl_patching_render_pipeline_read.p2i8;__resource_tracking_impl_patching_command_buffer_read.p1i8;__resource_tracking_impl_patching_command_buffer_read.p2i8;__resource_tracking_impl_patching_visible_function_table_read.p1i8;__resource_tracking_impl_patching_visible_function_table_read.p2i8;__resource_tracking_impl_patching_intersection_function_table_read.p1i8;__resource_tracking_impl_patching_intersection_function_table_read.p2i8;__resource_tracking_impl_patching_instance_acceleration_structure_read.p1i8;__resource_tracking_impl_patching_instance_acceleration_structure_read.p2i8;__resource_tracking_impl_patching_primitive_acceleration_structure_read.p1i8;__resource_tracking_impl_patching_primitive_acceleration_structure_read.p2i8;__resource_tracking_impl_patching_write.p1i8.p1i8;__resource_tracking_impl_patching_write.p1i8.p2i8;__resource_tracking_impl_usage_buffer_read;__resource_tracking_impl_usage_buffer_write;__resource_tracking_impl_usage_texture_read;__resource_tracking_impl_usage_texture_write;__resource_tracking_impl_usage_texture_sample;__resource_tracking_impl_usage_sampler_read;__resource_tracking_impl_usage_sampler_write;__resource_tracking_impl_usage_sampler_sample;__resource_tracking_impl_usage_visible_function_table_read;__resource_tracking_impl_usage_visible_function_table_write;__resource_tracking_impl_usage_visible_function_table_sample;__resource_tracking_impl_usage_intersection_function_table_read;__resource_tracking_impl_usage_intersection_function_table_write;__resource_tracking_impl_usage_intersection_function_table_sample;__resource_tracking_impl_usage_instance_acceleration_structure_read;__resource_tracking_impl_usage_instance_acceleration_structure_write;__resource_tracking_impl_usage_instance_acceleration_structure_sample;__resource_tracking_impl_usage_primitive_acceleration_structure_read;__resource_tracking_impl_usage_primitive_acceleration_structure_write;__resource_tracking_impl_usage_primitive_acceleration_structure_sample;__resource_tracking_impl_usage_compute_pipeline_read;__resource_tracking_impl_usage_compute_pipeline_write;__resource_tracking_impl_usage_compute_pipeline_sample;__resource_tracking_impl_usage_render_pipeline_read;__resource_tracking_impl_usage_render_pipeline_write;__resource_tracking_impl_usage_render_pipeline_sample;__resource_tracking_impl_usage_command_buffer_read;__resource_tracking_impl_usage_command_buffer_write;__resource_tracking_impl_usage_command_buffer_sample;__resource_tracking_impl_usage_depth_stencil_state_read;__resource_tracking_impl_usage_depth_stencil_state_write;__resource_tracking_impl_usage_depth_stencil_state_sample;__resource_tracking_impl_usage_tensor_read;__resource_tracking_impl_usage_tensor_write;__resource_tracking_impl_usage_tensor_sample
libtracepoint_rt_static_xros.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_static_xrossim.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_ios.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_iosmac.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_iossim.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_osx.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_tvos.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_tvossim.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_watchos.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_watchossim.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_xros.a,(no_impl_tail),tracepoint.metal.air
libtracepoint_rt_workaround_xrossim.a,(no_impl_tail),tracepoint.metal.air
