cell,scene,air_candidate,stage1_source,probe_method
__metal_abort_intersection_query,P10,air.abort.intersection.query,manual_needed,metal_raytracing:4383: __metal_abort_intersection_query(
__metal_absdiff,P04,air.absdiff,auto_wrapper,"metal_integer:19: return __metal_absdiff(x, y);"
__metal_addsat,P04,air.addsat,auto_wrapper,"metal_integer:23: return __metal_addsat(x, y);"
__metal_atomic_compare_exchange_weak_explicit,P07,air.atomic.compare.exchange.weak,manual_needed,"metal_atomic:349: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(ob"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,P06,air.atomic_compare_exchange_weak_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coo"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,P06,air.atomic_compare_exchange_weak_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,P06,air.atomic_compare_exchange_weak_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1392: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, co"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,P06,air.atomic_compare_exchange_weak_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1404: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2"
__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,P06,air.atomic_compare_exchange_weak_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1290: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3"
__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,P06,air.atomic_compare_exchange_weak_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:402: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coo"
__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,P06,air.atomic_compare_exchange_weak_explicit_texture_cube_array,manual_needed,__bits/metal_texturecube_array:1419: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t
__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,P06,air.atomic_compare_exchange_weak_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1422: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, fac"
__metal_atomic_exchange_explicit,P07,air.atomic.exchange,manual_needed,"metal_atomic:294: return T(__metal_atomic_exchange_explicit(&object->__s , decltype(object->__s)(desired), int(order), _"
__metal_atomic_exchange_explicit_texture_1d_array_t,P06,air.atomic_exchange_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:816: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, de"
__metal_atomic_exchange_explicit_texture_1d_t,P06,air.atomic_exchange_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:816: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMO"
__metal_atomic_exchange_explicit_texture_2d_array_t,P06,air.atomic_exchange_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1472: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, u"
__metal_atomic_exchange_explicit_texture_2d_t,P06,air.atomic_exchange_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1484: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, ushort2(0), desired,"
__metal_atomic_exchange_explicit_texture_3d_t,P06,air.atomic_exchange_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1370: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, ushort3(0), desired,"
__metal_atomic_exchange_explicit_texture_buffer_1d_t,P06,air.atomic_exchange_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:482: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, "
__metal_atomic_exchange_explicit_texture_cube_array_t,P06,air.atomic_exchange_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1499: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face"
__metal_atomic_exchange_explicit_texture_cube_t,P06,air.atomic_exchange_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1502: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, _"
__metal_atomic_fetch_add_explicit,P07,air.atomic.fetch.add,manual_needed,"metal_atomic:497: return __metal_atomic_fetch_add_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_add_explicit_texture_1d_array_t,P06,air.atomic_fetch_add_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:1216: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_add_explicit_texture_1d_t,P06,air.atomic_fetch_add_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:1216: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_ME"
__metal_atomic_fetch_add_explicit_texture_2d_array_t,P06,air.atomic_fetch_add_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1872: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_add_explicit_texture_2d_t,P06,air.atomic_fetch_add_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1884: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_add_explicit_texture_3d_t,P06,air.atomic_fetch_add_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1770: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_add_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_add_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:882: return __metal_atomic_fetch_add_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_add_explicit_texture_cube_array_t,P06,air.atomic_fetch_add_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1899: return __metal_atomic_fetch_add_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_add_explicit_texture_cube_t,P06,air.atomic_fetch_add_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1902: return __metal_atomic_fetch_add_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_and_explicit,P07,air.atomic.fetch.and,manual_needed,"metal_atomic:517: return __metal_atomic_fetch_and_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_and_explicit_texture_1d_array_t,P06,air.atomic_fetch_and_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:896: return __metal_atomic_fetch_and_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_and_explicit_texture_1d_t,P06,air.atomic_fetch_and_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:896: return __metal_atomic_fetch_and_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_and_explicit_texture_2d_array_t,P06,air.atomic_fetch_and_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1552: return __metal_atomic_fetch_and_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_and_explicit_texture_2d_t,P06,air.atomic_fetch_and_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1564: return __metal_atomic_fetch_and_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_and_explicit_texture_3d_t,P06,air.atomic_fetch_and_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1450: return __metal_atomic_fetch_and_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_and_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_and_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:562: return __metal_atomic_fetch_and_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_and_explicit_texture_cube_array_t,P06,air.atomic_fetch_and_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1579: return __metal_atomic_fetch_and_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_and_explicit_texture_cube_t,P06,air.atomic_fetch_and_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1582: return __metal_atomic_fetch_and_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_max_explicit,P07,air.atomic.fetch.max,manual_needed,"metal_atomic:537: return __metal_atomic_fetch_max_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_max_explicit_texture_1d_array_t,P06,air.atomic_fetch_max_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:901: return __metal_atomic_fetch_max_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_max_explicit_texture_1d_t,P06,air.atomic_fetch_max_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:901: return __metal_atomic_fetch_max_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_max_explicit_texture_2d_array_t,P06,air.atomic_fetch_max_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1562: return __metal_atomic_fetch_max_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_max_explicit_texture_2d_t,P06,air.atomic_fetch_max_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1574: return __metal_atomic_fetch_max_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_max_explicit_texture_3d_t,P06,air.atomic_fetch_max_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1460: return __metal_atomic_fetch_max_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_max_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_max_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:567: return __metal_atomic_fetch_max_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_max_explicit_texture_cube_array_t,P06,air.atomic_fetch_max_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1584: return __metal_atomic_fetch_max_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_max_explicit_texture_cube_t,P06,air.atomic_fetch_max_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1587: return __metal_atomic_fetch_max_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_min_explicit,P07,air.atomic.fetch.min,manual_needed,"metal_atomic:557: return __metal_atomic_fetch_min_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_min_explicit_texture_1d_array_t,P06,air.atomic_fetch_min_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:906: return __metal_atomic_fetch_min_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_min_explicit_texture_1d_t,P06,air.atomic_fetch_min_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:906: return __metal_atomic_fetch_min_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_min_explicit_texture_2d_array_t,P06,air.atomic_fetch_min_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1572: return __metal_atomic_fetch_min_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_min_explicit_texture_2d_t,P06,air.atomic_fetch_min_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1584: return __metal_atomic_fetch_min_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_min_explicit_texture_3d_t,P06,air.atomic_fetch_min_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1470: return __metal_atomic_fetch_min_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_min_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_min_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:572: return __metal_atomic_fetch_min_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_min_explicit_texture_cube_array_t,P06,air.atomic_fetch_min_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1589: return __metal_atomic_fetch_min_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_min_explicit_texture_cube_t,P06,air.atomic_fetch_min_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1592: return __metal_atomic_fetch_min_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_or_explicit,P07,air.atomic.fetch.or,manual_needed,"metal_atomic:577: return __metal_atomic_fetch_or_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_THR"
__metal_atomic_fetch_or_explicit_texture_1d_array_t,P06,air.atomic_fetch_or_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:911: return __metal_atomic_fetch_or_explicit_texture_1d_array_t(derived.t, coord, array, op"
__metal_atomic_fetch_or_explicit_texture_1d_t,P06,air.atomic_fetch_or_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:911: return __metal_atomic_fetch_or_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMO"
