chapter,intro_version,1.2,2.0,2.1,2.2,2.3,2.4,3.0,3.1,3.2,4.0,4.1
1 Introduction,1.2,1,1,1,1,1,1,1,1,1,1,1
2 Data Types,1.2,1,1,1,1,1,1,1,1,1,1,1
2 Hardware Support for Argument Buffers,2.2,,,,1,1,1,1,1,1,1,1
3 Operators,1.2,1,1,1,1,1,1,1,1,1,1,1
4 Address Spaces,2.2,,,,1,1,1,1,1,1,1,1
4 Function and Variable Declarations,2.1,,,1,,,,,,,,
5 Function and Variable Declarations,2.2,,,,1,1,1,1,1,1,1,1
5 Metal Standard Library,1.2,1,1,1,,,,,,,,
6 Compiler Options,1.2,1,1,,,,,,,,,
6 Compiler and Preprocessor,2.1,,,1,,,,,,,,
6 Metal Standard Library,2.2,,,,1,1,1,1,1,1,1,1
7 Metal Performance Primitives,4.0,,,,,,,,,,1,1
7 Numerical Compliance,2.0,,1,1,1,1,1,1,1,1,,
8 Numerical Compliance,4.0,,,,,,,,,,1,1
8 Revision History,2.0,,1,,,,,,,,,
9 Appendix,4.0,,,,,,,,,,1,1
