header,n_stage1_decls,n_distinct_builtins,n_classes,n_public_type_decls,n_typedefs,guards_used,sample_builtins,evidence,source_ref
__bits/metal_depth2d,252,16,5,12,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,__metal_calculate_clamped_lod_depth_2d_t;__metal_calculate_unclamped_lod_depth_2d_t;__metal_depth_2d_t;__metal_gather_compare_depth_2d_t;__metal_gather_depth_2d_t,apple_stdlib_headers,include/metal/__bits/metal_depth2d
__bits/metal_depth2d_array,258,17,5,12,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,__metal_calculate_clamped_lod_depth_2d_array_t;__metal_calculate_unclamped_lod_depth_2d_array_t;__metal_depth_2d_array_t;__metal_gather_compare_depth_2d_array_t;__metal_gather_depth_2d_array_t,apple_stdlib_headers,include/metal/__bits/metal_depth2d_array
__bits/metal_depth2d_ms,48,8,3,8,0,__HAVE_16B_COORDS__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__,__metal_depth_2d_ms_t;__metal_get_height_depth_2d_ms_t;__metal_get_null_depth_2d_ms_t;__metal_get_num_samples_depth_2d_ms_t;__metal_get_read_sampler,apple_stdlib_headers,include/metal/__bits/metal_depth2d_ms
__bits/metal_depth2d_ms_array,54,9,3,8,0,__HAVE_16B_COORDS__;__HAVE_COHERENT__;__HAVE_DEPTH_2D_MS_ARRAY__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__,__metal_depth_2d_ms_array_t;__metal_get_array_size_depth_2d_ms_array_t;__metal_get_height_depth_2d_ms_array_t;__metal_get_null_depth_2d_ms_array_t;__metal_get_num_samples_depth_2d_ms_array_t,apple_stdlib_headers,include/metal/__bits/metal_depth2d_ms_array
__bits/metal_depthcube,252,16,5,12,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEPTH_CUBE_READ__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,__metal_calculate_clamped_lod_depth_cube_t;__metal_calculate_unclamped_lod_depth_cube_t;__metal_depth_cube_t;__metal_gather_compare_depth_cube_t;__metal_gather_depth_cube_t,apple_stdlib_headers,include/metal/__bits/metal_depthcube
__bits/metal_depthcube_array,258,17,5,12,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEPTH_CUBE_ARRAY__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,__metal_calculate_clamped_lod_depth_cube_array_t;__metal_calculate_unclamped_lod_depth_cube_array_t;__metal_depth_cube_array_t;__metal_gather_compare_depth_cube_array_t;__metal_gather_depth_cube_array_t,apple_stdlib_headers,include/metal/__bits/metal_depthcube_array
__bits/metal_texture1d,240,24,12,27,0,__HAVE_16B_COORDS__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,__metal_atomic_compare_exchange_weak_explicit_texture_1d_t;__metal_atomic_exchange_explicit_texture_1d_t;__metal_atomic_fetch_add_explicit_texture_1d_t;__metal_atomic_fetch_and_explicit_texture_1d_t;__metal_atomic_fetch_max_explicit_texture_1d_t,apple_stdlib_headers,include/metal/__bits/metal_texture1d
__bits/metal_texture1d_array,246,25,12,27,0,__HAVE_16B_COORDS__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t;__metal_atomic_exchange_explicit_texture_1d_array_t;__metal_atomic_fetch_add_explicit_texture_1d_array_t;__metal_atomic_fetch_and_explicit_texture_1d_array_t;__metal_atomic_fetch_max_explicit_texture_1d_array_t,apple_stdlib_headers,include/metal/__bits/metal_texture1d_array
__bits/metal_texture2d,342,29,13,29,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,__metal_atomic_compare_exchange_weak_explicit_texture_2d_t;__metal_atomic_exchange_explicit_texture_2d_t;__metal_atomic_fetch_add_explicit_texture_2d_t;__metal_atomic_fetch_and_explicit_texture_2d_t;__metal_atomic_fetch_max_explicit_texture_2d_t,apple_stdlib_headers,include/metal/__bits/metal_texture2d
__bits/metal_texture2d_array,348,30,13,29,0,__HAVE_16B_COORDS__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t;__metal_atomic_exchange_explicit_texture_2d_array_t;__metal_atomic_fetch_add_explicit_texture_2d_array_t;__metal_atomic_fetch_and_explicit_texture_2d_array_t;__metal_atomic_fetch_max_explicit_texture_2d_array_t,apple_stdlib_headers,include/metal/__bits/metal_texture2d_array
