archive,module_member,n_functions,n_air_intrinsics,n_llvm_intrinsics,n_internal_callees,n_other_callees,air_stems,sample_internal,evidence,source_ref
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_curve_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_curve_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_triangle_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_triangle_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_triangle_data_curve_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_bounding_box_intersection_intersection_query_multi_level_instancing_triangle_data_curve_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_curve_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_curve_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_triangle_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_triangle_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_triangle_data_curve_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_curve_intersection_intersection_query_multi_level_instancing_triangle_data_curve_data
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_triangle_intersection_intersection_query_multi_level_instancing,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_triangle_intersection_intersection_query_multi_level_instancing
MTLRaytracingRuntime.rtlib,__air_raytracing_impl_commit_triangle_intersection_intersection_query_multi_level_instancing_curve_data,1,0,1,0,0,,,apple_rtlib_ir,lib/darwin/MTLRaytracingRuntime.rtlib::__air_raytracing_impl_commit_triangle_intersection_intersection_query_multi_level_instancing_curve_data
