ir_struct,builtin_row,ir_form,n_corpus_occurrences,addrspaces_observed,pointer_size_bytes,header_decl_context,evidence_files,status
%struct._command_buffer_t,__metal_command_buffer_t,opaque,7,as1,8,metal/metal_command_buffer:203: __metal_command_buffer_t t;,golden/P08M40/metal40_macosx26/probe.ll;golden/P08M40v2/metal40_macosx26/probe.ll;golden/P08M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._compute_pipeline_state_t,__metal_compute_pipeline_state_t,opaque,7,as1,8,metal/metal_command_buffer:373: __metal_compute_pipeline_state_t t;,golden/P08M40/metal40_macosx26/probe.ll;golden/P08M40v2/metal40_macosx26/probe.ll;golden/P08M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_2d_array_t,__metal_depth_2d_array_t,opaque,6,as1,8,metal/__bits/metal_depth2d_array:2187: __metal_depth_2d_array_t t;,golden/P06M40/metal40_macosx26/probe.ll;golden/P06M40v2/metal40_macosx26/probe.ll;golden/P06M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_2d_ms_array_t,__metal_depth_2d_ms_array_t,opaque,6,as1,8,metal/__bits/metal_depth2d_ms_array:651: __metal_depth_2d_ms_array_t t;,golden/P06M40/metal40_macosx26/probe.ll;golden/P06M40v2/metal40_macosx26/probe.ll;golden/P06M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_2d_ms_t,__metal_depth_2d_ms_t,opaque,3,as1,8,metal/__bits/metal_depth2d_ms:620: __metal_depth_2d_ms_t t;,golden/P06M40_run11/metal40_macosx26/probe.ll;golden/P07F40/metal40_macosx26/probe.ll;golden/run25_apply/P25M/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_2d_t,__metal_depth_2d_t,opaque,8,as1,8,metal/__bits/metal_depth2d:2157: __metal_depth_2d_t t;,golden/P06M40/metal40_macosx26/probe.ll;golden/P06M40_run10/metal40_macosx26/probe.ll;golden/P06M40_run11/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_cube_array_t,__metal_depth_cube_array_t,opaque,6,as1,8,metal/__bits/metal_depthcube_array:2176: __metal_depth_cube_array_t t;,golden/P06M40/metal40_macosx26/probe.ll;golden/P06M40v2/metal40_macosx26/probe.ll;golden/P06M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_cube_t,__metal_depth_cube_t,opaque,6,as1,8,metal/__bits/metal_depthcube:2159: __metal_depth_cube_t t;,golden/P06M40/metal40_macosx26/probe.ll;golden/P06M40v2/metal40_macosx26/probe.ll;golden/P06M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._depth_stencil_state_t,__metal_depth_stencil_state_t,opaque,6,as1,8,metal/metal_command_buffer:790: __metal_depth_stencil_state_t s;,golden/P08M40/metal40_macosx26/probe.ll;golden/P08M40v2/metal40_macosx26/probe.ll;golden/P08M40v3/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
%struct._function_handle_t,__metal_function_handle_t,opaque,3,as1,8,metal/metal_visible_function_table:18: static METAL_FUNC function_handle __get_from_opaque_handle(__metal_function_handle_t f) {,golden/P07F40/metal40_macosx26/probe.ll;golden/P11M40_run12/metal40_macosx26/probe.ll;golden/run25_apply/P25M/metal40_macosx26/probe.ll,✅golden corpus 実測 (opaque 宣言・addrspace 使用)
