scene,file,symbol,builtin,stage1_source
P10,probe.metal,,__metal_abort_intersection_query,manual_needed
P04,probe.metal,probe_p04_absdiff,__metal_absdiff,auto_wrapper
P04,probe.metal,probe_p04_addsat,__metal_addsat,auto_wrapper
P07,probe.metal,,__metal_atomic_compare_exchange_weak_explicit,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_exchange_explicit,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_exchange_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_add_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_add_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_and_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_and_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_max_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_max_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_min_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_cube_array_t,manual_needed
