scene,file,symbol,builtin,stage1_source
P08M,probe.metal,probe_p08m_iq_0,__metal_get_candidate_instance_count_intersection_query,auto_construct
P08M,probe.metal,probe_p08m_iq_1,__metal_get_committed_instance_count_intersection_query,auto_construct
P08M,probe.metal,probe_p08m_irr_2,__metal_get_curve_parameter_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_3,__metal_get_distance_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_4,__metal_get_geometry_id_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_5,__metal_get_instance_count_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_6,__metal_get_instance_id_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_7,__metal_get_object_to_world_transform_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_8,__metal_get_primitive_id_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_9,__metal_get_ray_direction_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_10,__metal_get_ray_min_distance_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_11,__metal_get_ray_origin_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_12,__metal_get_triangle_barycentric_coord_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_13,__metal_get_user_instance_id_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_14,__metal_get_world_to_object_transform_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_irr_15,__metal_is_triangle_front_facing_intersection_result,auto_construct
P08M,probe.metal,probe_p08m_ift_16,__metal_set_visible_function_table_intersection_function_table,auto_construct
P08M,probe.metal,probe_p08m_type_17,__metal_compute_pipeline_state_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_18,__metal_depth_stencil_state_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_19,__metal_intersection_function_table_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_20,__metal_intersection_result_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_21,__metal_render_pipeline_state_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_22,__metal_tensor_t,auto_type_passthrough
P08M,probe.metal,probe_p08m_type_23,__metal_visible_function_table_t,auto_type_passthrough
