scene,file,symbol,builtin,stage1_source
P18K,probe.metal,probe_p18k_set_index,__metal_set_index_mesh,oneoff_p18
P18K,probe.metal,probe_p18k_set_indices,__metal_set_indices_mesh,oneoff_p18
P18K,probe.metal,probe_p18k_set_primcount,__metal_set_primitive_count_mesh,oneoff_p18
P18K,probe.metal,probe_p18k_set_vertex,__metal_set_vertex_mesh,oneoff_p18
P18K,probe.metal,probe_p18k_set_prim,__metal_set_primitive_mesh,oneoff_p18
P18K,probe.metal,probe_p18k_mgp,__metal_set_threadgroups_per_grid_mesh_grid_properties,oneoff_p18
P18K,probe.metal,probe_p18k_patch,__metal_get_num_patch_control_points,oneoff_p18
P18K,probe.metal,probe_p18k_ib_size,__metal_get_imageblock_width,oneoff_p18
P18K,probe.metal,probe_p18k_ib_size,__metal_get_imageblock_height,oneoff_p18
P18K,probe.metal,probe_p18k_ib_size,__metal_get_imageblock_num_colors,oneoff_p18
P18K,probe.metal,probe_p18k_ib_size,__metal_get_imageblock_samples,oneoff_p18
P18K,probe.metal,probe_p18k_ib_size,__metal_get_imageblock_color_coverage_mask,oneoff_p18
P18K,probe.metal,probe_p18k_ib_read,__metal_imageblock_explicit_data,oneoff_p18
P18K,probe.metal,probe_p18k_ib_write,__metal_imageblock_explicit_mask_write,oneoff_p18
P18K,probe.metal,probe_p18k_vv,__metal_get_vertex_value,oneoff_p18
