scene,file,symbol,builtin,stage1_source
P07F,probe.metal,probe_p07f_is_null_visible_function_table_0,__metal_get_function_pointer_visible_function_table,auto_free
P07F,probe.metal,probe_p07f_is_null_visible_function_table_1,__metal_get_null_visible_function_table,auto_free
P07F,probe.metal,probe_p07f_is_null_visible_function_table_2,__metal_get_size_visible_function_table,auto_free
P07F,probe.metal,probe_p07f_is_null_intersection_function_table_3,__metal_is_null_intersection_function_table,auto_free
P07F,probe.metal,probe_p07f_quad_and_4,__metal_quad_and,auto_free
P07F,probe.metal,probe_p07f_quad_or_5,__metal_quad_or,auto_free
P07F,probe.metal,probe_p07f_quad_xor_6,__metal_quad_xor,auto_free
P07F,probe.metal,probe_p07f_fdim_7,__metal_select,auto_free
P07F,probe.metal,probe_p07f_simd_and_8,__metal_simd_and,auto_free
P07F,probe.metal,probe_p07f_simd_or_9,__metal_simd_or,auto_free
P07F,probe.metal,probe_p07f_simd_xor_10,__metal_simd_xor,auto_free
P07F,probe.metal,probe_p07f_is_null_visible_function_table_11,__metal_visible_function_table_t,auto_free
