scene,file,symbol,builtin,stage1_source
P06M,probe.metal,probe_p06m_atomic_max_0,__metal_atomic_max_explicit_texture_1d_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_1,__metal_atomic_max_explicit_texture_1d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_2,__metal_atomic_max_explicit_texture_2d_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_3,__metal_atomic_max_explicit_texture_2d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_4,__metal_atomic_max_explicit_texture_3d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_5,__metal_atomic_max_explicit_texture_buffer_1d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_6,__metal_atomic_max_explicit_texture_cube_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_max_7,__metal_atomic_max_explicit_texture_cube_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_8,__metal_atomic_min_explicit_texture_1d_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_9,__metal_atomic_min_explicit_texture_1d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_10,__metal_atomic_min_explicit_texture_2d_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_11,__metal_atomic_min_explicit_texture_2d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_12,__metal_atomic_min_explicit_texture_3d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_13,__metal_atomic_min_explicit_texture_buffer_1d_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_14,__metal_atomic_min_explicit_texture_cube_array_t,auto_method
P06M,probe.metal,probe_p06m_atomic_min_15,__metal_atomic_min_explicit_texture_cube_t,auto_method
P06M,probe.metal,probe_p06m_get_height_16,__metal_get_height_depth_2d_t,auto_method
P06M,probe.metal,probe_p06m_get_num_samples_17,__metal_get_num_samples_depth_2d_ms_t,auto_method
P06M,probe.metal,probe_p06m_sample_18,__metal_sample_texture_cube_t_grad,auto_method
P06M,probe.metal,probe_p06m_write_19,__metal_write_texture_cube_array_t,auto_method
P06M,probe.metal,probe_p06m_write_20,__metal_write_texture_cube_t,auto_method
