scene,file,symbol,builtin,stage1_source
P26M,probe.metal,probe_p26m_1d_max,__metal_atomic_max_explicit_texture_1d_t,oneoff_p26
P26M,probe.metal,probe_p26m_1d_min,__metal_atomic_min_explicit_texture_1d_t,oneoff_p26
P26M,probe.metal,probe_p26m_1da_max,__metal_atomic_max_explicit_texture_1d_array_t,oneoff_p26
P26M,probe.metal,probe_p26m_1da_min,__metal_atomic_min_explicit_texture_1d_array_t,oneoff_p26
P26M,probe.metal,probe_p26m_2d_max,__metal_atomic_max_explicit_texture_2d_t,oneoff_p26
P26M,probe.metal,probe_p26m_2d_min,__metal_atomic_min_explicit_texture_2d_t,oneoff_p26
P26M,probe.metal,probe_p26m_2da_max,__metal_atomic_max_explicit_texture_2d_array_t,oneoff_p26
P26M,probe.metal,probe_p26m_2da_min,__metal_atomic_min_explicit_texture_2d_array_t,oneoff_p26
P26M,probe.metal,probe_p26m_3d_max,__metal_atomic_max_explicit_texture_3d_t,oneoff_p26
P26M,probe.metal,probe_p26m_3d_min,__metal_atomic_min_explicit_texture_3d_t,oneoff_p26
P26M,probe.metal,probe_p26m_buf1d_max,__metal_atomic_max_explicit_texture_buffer_1d_t,oneoff_p26
P26M,probe.metal,probe_p26m_buf1d_min,__metal_atomic_min_explicit_texture_buffer_1d_t,oneoff_p26
P26M,probe.metal,probe_p26m_cube_max,__metal_atomic_max_explicit_texture_cube_t,oneoff_p26
P26M,probe.metal,probe_p26m_cube_min,__metal_atomic_min_explicit_texture_cube_t,oneoff_p26
P26M,probe.metal,probe_p26m_cubearr_max,__metal_atomic_max_explicit_texture_cube_array_t,oneoff_p26
P26M,probe.metal,probe_p26m_cubearr_min,__metal_atomic_min_explicit_texture_cube_array_t,oneoff_p26
