scene,file,symbol,builtin,stage1_source
P10T,probe.metal,probe_p10t_extent_0,__metal_get_extent_tensor,auto_tensor
P10T,probe.metal,probe_p10t_stride_1,__metal_get_stride_tensor,auto_tensor
P10T,probe.metal,probe_p10t_load_2,__metal_load_tensor,auto_tensor
P10T,probe.metal,probe_p10t_store_3,__metal_store_tensor,auto_tensor
P10T,probe.metal,probe_p10t_dptr_4,__metal_get_data_pointer_tensor,auto_tensor
P10T,probe.metal,probe_p10t_slice_5,__metal_slice_tensor,auto_tensor
P10T,probe.metal,probe_p10t_init_6,__metal_init_strided_tensor,auto_tensor
P10T,probe.metal,probe_p10t_isnull_7,__metal_is_null_tensor,auto_tensor
P10T,probe.metal,probe_p10t_null_8,__metal_get_null_tensor,auto_tensor
P10T,probe.metal,probe_p10t_handle_9,__metal_get_tensor_handle,auto_tensor
P10T,probe.metal,probe_p10t_descsize_10,__metal_descriptor_size_tensor,auto_tensor
P10T,probe.metal,probe_p10t_type_h_11,__metal_tensor_t,auto_tensor
P10T,probe.metal,probe_p10t_type_th_12,__metal_tensor_thread_t,auto_tensor
